BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
210 Fredensborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;27423
217 Helsingør;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1829
217 Helsingør;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;6201
217 Helsingør;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;494
217 Helsingør;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;2838
217 Helsingør;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;156
217 Helsingør;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;42187
219 Hillerød;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1657
219 Hillerød;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;5377
219 Hillerød;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;360
219 Hillerød;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;2881
219 Hillerød;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;240
219 Hillerød;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;32200
223 Hørsholm;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;785
223 Hørsholm;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2692
223 Hørsholm;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;321
223 Hørsholm;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;2795
223 Hørsholm;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;187
223 Hørsholm;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;16066
