ULLIG;KOMMUNEDK;TID;INDHOLD 
73 P90/10 (Upper decile boundary divided by lower);169 Høje-Taastrup;2013 2013;2.98
73 P90/10 (Upper decile boundary divided by lower);173 Lyngby-Taarbæk;2013 2013;4.02
73 P90/10 (Upper decile boundary divided by lower);175 Rødovre;2013 2013;2.93
73 P90/10 (Upper decile boundary divided by lower);183 Ishøj;2013 2013;2.88
73 P90/10 (Upper decile boundary divided by lower);185 Tårnby;2013 2013;2.81
73 P90/10 (Upper decile boundary divided by lower);187 Vallensbæk;2013 2013;2.87
73 P90/10 (Upper decile boundary divided by lower);190 Furesø;2013 2013;3.42
73 P90/10 (Upper decile boundary divided by lower);201 Allerød;2013 2013;2.90
73 P90/10 (Upper decile boundary divided by lower);210 Fredensborg;2013 2013;3.26
73 P90/10 (Upper decile boundary divided by lower);217 Helsingør;2013 2013;3.11
73 P90/10 (Upper decile boundary divided by lower);219 Hillerød;2013 2013;2.96
73 P90/10 (Upper decile boundary divided by lower);223 Hørsholm;2013 2013;4.25
73 P90/10 (Upper decile boundary divided by lower);230 Rudersdal;2013 2013;4.32
73 P90/10 (Upper decile boundary divided by lower);240 Egedal;2013 2013;2.51
73 P90/10 (Upper decile boundary divided by lower);250 Frederikssund;2013 2013;2.69
73 P90/10 (Upper decile boundary divided by lower);253 Greve;2013 2013;2.80
73 P90/10 (Upper decile boundary divided by lower);259 Køge;2013 2013;2.76
73 P90/10 (Upper decile boundary divided by lower);260 Halsnæs;2013 2013;2.49
73 P90/10 (Upper decile boundary divided by lower);265 Roskilde;2013 2013;3.21
73 P90/10 (Upper decile boundary divided by lower);269 Solrød;2013 2013;2.84
73 P90/10 (Upper decile boundary divided by lower);270 Gribskov;2013 2013;2.68
73 P90/10 (Upper decile boundary divided by lower);306 Odsherred;2013 2013;2.45
73 P90/10 (Upper decile boundary divided by lower);316 Holbæk;2013 2013;2.74
73 P90/10 (Upper decile boundary divided by lower);320 Faxe;2013 2013;2.58
73 P90/10 (Upper decile boundary divided by lower);326 Kalundborg;2013 2013;2.65
73 P90/10 (Upper decile boundary divided by lower);329 Ringsted;2013 2013;2.75
73 P90/10 (Upper decile boundary divided by lower);330 Slagelse;2013 2013;2.79
73 P90/10 (Upper decile boundary divided by lower);336 Stevns;2013 2013;2.57
73 P90/10 (Upper decile boundary divided by lower);340 Sorø;2013 2013;2.65
73 P90/10 (Upper decile boundary divided by lower);350 Lejre;2013 2013;2.62
73 P90/10 (Upper decile boundary divided by lower);360 Lolland;2013 2013;2.53
73 P90/10 (Upper decile boundary divided by lower);370 Næstved;2013 2013;2.70
73 P90/10 (Upper decile boundary divided by lower);376 Guldborgsund;2013 2013;2.62
73 P90/10 (Upper decile boundary divided by lower);390 Vordingborg;2013 2013;2.61
73 P90/10 (Upper decile boundary divided by lower);400 Bornholm;2013 2013;2.36
73 P90/10 (Upper decile boundary divided by lower);410 Middelfart;2013 2013;2.55
73 P90/10 (Upper decile boundary divided by lower);420 Assens;2013 2013;2.45
73 P90/10 (Upper decile boundary divided by lower);430 Faaborg-Midtfyn;2013 2013;2.42
73 P90/10 (Upper decile boundary divided by lower);440 Kerteminde;2013 2013;2.46
73 P90/10 (Upper decile boundary divided by lower);450 Nyborg;2013 2013;2.46
73 P90/10 (Upper decile boundary divided by lower);461 Odense;2013 2013;3.30
73 P90/10 (Upper decile boundary divided by lower);479 Svendborg;2013 2013;2.83
73 P90/10 (Upper decile boundary divided by lower);480 Nordfyns;2013 2013;2.40
73 P90/10 (Upper decile boundary divided by lower);482 Langeland;2013 2013;2.39
73 P90/10 (Upper decile boundary divided by lower);492 Ærø;2013 2013;2.81
73 P90/10 (Upper decile boundary divided by lower);510 Haderslev;2013 2013;2.63
73 P90/10 (Upper decile boundary divided by lower);530 Billund;2013 2013;2.56
73 P90/10 (Upper decile boundary divided by lower);540 Sønderborg;2013 2013;2.66
73 P90/10 (Upper decile boundary divided by lower);550 Tønder;2013 2013;2.58
73 P90/10 (Upper decile boundary divided by lower);561 Esbjerg;2013 2013;2.85
73 P90/10 (Upper decile boundary divided by lower);563 Fanø;2013 2013;2.80
73 P90/10 (Upper decile boundary divided by lower);573 Varde;2013 2013;2.54
73 P90/10 (Upper decile boundary divided by lower);575 Vejen;2013 2013;2.50
73 P90/10 (Upper decile boundary divided by lower);580 Aabenraa;2013 2013;2.67
73 P90/10 (Upper decile boundary divided by lower);607 Fredericia;2013 2013;2.75
73 P90/10 (Upper decile boundary divided by lower);615 Horsens;2013 2013;2.77
73 P90/10 (Upper decile boundary divided by lower);621 Kolding;2013 2013;2.81
73 P90/10 (Upper decile boundary divided by lower);630 Vejle;2013 2013;2.77
73 P90/10 (Upper decile boundary divided by lower);657 Herning;2013 2013;2.69
73 P90/10 (Upper decile boundary divided by lower);661 Holstebro;2013 2013;2.64
73 P90/10 (Upper decile boundary divided by lower);665 Lemvig;2013 2013;2.52
73 P90/10 (Upper decile boundary divided by lower);671 Struer;2013 2013;2.50
73 P90/10 (Upper decile boundary divided by lower);706 Syddjurs;2013 2013;2.53
73 P90/10 (Upper decile boundary divided by lower);707 Norddjurs;2013 2013;2.59
73 P90/10 (Upper decile boundary divided by lower);710 Favrskov;2013 2013;2.49
73 P90/10 (Upper decile boundary divided by lower);727 Odder;2013 2013;2.58
73 P90/10 (Upper decile boundary divided by lower);730 Randers;2013 2013;2.65
73 P90/10 (Upper decile boundary divided by lower);740 Silkeborg;2013 2013;2.73
73 P90/10 (Upper decile boundary divided by lower);741 Samsø;2013 2013;2.47
73 P90/10 (Upper decile boundary divided by lower);746 Skanderborg;2013 2013;2.58
73 P90/10 (Upper decile boundary divided by lower);751 Aarhus;2013 2013;3.98
73 P90/10 (Upper decile boundary divided by lower);756 Ikast-Brande;2013 2013;2.49
73 P90/10 (Upper decile boundary divided by lower);760 Ringkøbing-Skjern;2013 2013;2.50
73 P90/10 (Upper decile boundary divided by lower);766 Hedensted;2013 2013;2.45
73 P90/10 (Upper decile boundary divided by lower);773 Morsø;2013 2013;2.40
73 P90/10 (Upper decile boundary divided by lower);779 Skive;2013 2013;2.47
73 P90/10 (Upper decile boundary divided by lower);787 Thisted;2013 2013;2.51
73 P90/10 (Upper decile boundary divided by lower);791 Viborg;2013 2013;2.62
73 P90/10 (Upper decile boundary divided by lower);810 Brønderslev;2013 2013;2.44
73 P90/10 (Upper decile boundary divided by lower);813 Frederikshavn;2013 2013;2.51
73 P90/10 (Upper decile boundary divided by lower);820 Vesthimmerlands;2013 2013;2.49
73 P90/10 (Upper decile boundary divided by lower);825 Læsø;2013 2013;2.37
73 P90/10 (Upper decile boundary divided by lower);840 Rebild;2013 2013;2.55
73 P90/10 (Upper decile boundary divided by lower);846 Mariagerfjord;2013 2013;2.53
73 P90/10 (Upper decile boundary divided by lower);849 Jammerbugt;2013 2013;2.44
73 P90/10 (Upper decile boundary divided by lower);851 Aalborg;2013 2013;3.23
73 P90/10 (Upper decile boundary divided by lower);860 Hjørring;2013 2013;2.57
70 Gini coefficient;000 All Denmark;2010 2010;27.47
70 Gini coefficient;101 Copenhagen;2010 2010;31.44
70 Gini coefficient;147 Frederiksberg;2010 2010;32.93
70 Gini coefficient;151 Ballerup;2010 2010;24.02
70 Gini coefficient;153 Brøndby;2010 2010;23.91
70 Gini coefficient;155 Dragør;2010 2010;26.93
70 Gini coefficient;157 Gentofte;2010 2010;43.42
70 Gini coefficient;159 Gladsaxe;2010 2010;26.81
70 Gini coefficient;161 Glostrup;2010 2010;23.85
70 Gini coefficient;163 Herlev;2010 2010;24.13
70 Gini coefficient;165 Albertslund;2010 2010;25.03
70 Gini coefficient;167 Hvidovre;2010 2010;24.01
70 Gini coefficient;169 Høje-Taastrup;2010 2010;23.71
70 Gini coefficient;173 Lyngby-Taarbæk;2010 2010;32.73
70 Gini coefficient;175 Rødovre;2010 2010;23.22
70 Gini coefficient;183 Ishøj;2010 2010;24.24
70 Gini coefficient;185 Tårnby;2010 2010;22.80
70 Gini coefficient;187 Vallensbæk;2010 2010;23.46
70 Gini coefficient;190 Furesø;2010 2010;28.22
70 Gini coefficient;201 Allerød;2010 2010;25.56
70 Gini coefficient;210 Fredensborg;2010 2010;29.29
70 Gini coefficient;217 Helsingør;2010 2010;27.75
70 Gini coefficient;219 Hillerød;2010 2010;25.11
70 Gini coefficient;223 Hørsholm;2010 2010;38.78
70 Gini coefficient;230 Rudersdal;2010 2010;40.11
70 Gini coefficient;240 Egedal;2010 2010;21.75
70 Gini coefficient;250 Frederikssund;2010 2010;23.36
70 Gini coefficient;253 Greve;2010 2010;24.09
70 Gini coefficient;259 Køge;2010 2010;23.44
70 Gini coefficient;260 Halsnæs;2010 2010;21.65
70 Gini coefficient;265 Roskilde;2010 2010;26.49
70 Gini coefficient;269 Solrød;2010 2010;24.79
70 Gini coefficient;270 Gribskov;2010 2010;24.21
70 Gini coefficient;306 Odsherred;2010 2010;23.42
70 Gini coefficient;316 Holbæk;2010 2010;24.81
70 Gini coefficient;320 Faxe;2010 2010;23.26
70 Gini coefficient;326 Kalundborg;2010 2010;24.08
70 Gini coefficient;329 Ringsted;2010 2010;23.83
70 Gini coefficient;330 Slagelse;2010 2010;23.92
70 Gini coefficient;336 Stevns;2010 2010;22.92
70 Gini coefficient;340 Sorø;2010 2010;25.18
70 Gini coefficient;350 Lejre;2010 2010;23.73
70 Gini coefficient;360 Lolland;2010 2010;24.47
70 Gini coefficient;370 Næstved;2010 2010;24.12
70 Gini coefficient;376 Guldborgsund;2010 2010;24.26
70 Gini coefficient;390 Vordingborg;2010 2010;24.32
70 Gini coefficient;400 Bornholm;2010 2010;22.85
70 Gini coefficient;410 Middelfart;2010 2010;23.86
70 Gini coefficient;420 Assens;2010 2010;22.94
70 Gini coefficient;430 Faaborg-Midtfyn;2010 2010;23.19
70 Gini coefficient;440 Kerteminde;2010 2010;23.18
70 Gini coefficient;450 Nyborg;2010 2010;22.71
70 Gini coefficient;461 Odense;2010 2010;26.66
70 Gini coefficient;479 Svendborg;2010 2010;24.91
70 Gini coefficient;480 Nordfyns;2010 2010;22.77
70 Gini coefficient;482 Langeland;2010 2010;23.35
70 Gini coefficient;492 Ærø;2010 2010;24.89
70 Gini coefficient;510 Haderslev;2010 2010;25.12
70 Gini coefficient;530 Billund;2010 2010;25.03
70 Gini coefficient;540 Sønderborg;2010 2010;24.39
70 Gini coefficient;550 Tønder;2010 2010;25.77
70 Gini coefficient;561 Esbjerg;2010 2010;25.78
70 Gini coefficient;563 Fanø;2010 2010;26.13
70 Gini coefficient;573 Varde;2010 2010;25.84
70 Gini coefficient;575 Vejen;2010 2010;25.84
70 Gini coefficient;580 Aabenraa;2010 2010;25.09
70 Gini coefficient;607 Fredericia;2010 2010;24.28
70 Gini coefficient;615 Horsens;2010 2010;24.90
70 Gini coefficient;621 Kolding;2010 2010;25.09
70 Gini coefficient;630 Vejle;2010 2010;26.41
70 Gini coefficient;657 Herning;2010 2010;24.88
70 Gini coefficient;661 Holstebro;2010 2010;25.51
70 Gini coefficient;665 Lemvig;2010 2010;30.57
70 Gini coefficient;671 Struer;2010 2010;24.57
70 Gini coefficient;706 Syddjurs;2010 2010;25.49
70 Gini coefficient;707 Norddjurs;2010 2010;24.77
70 Gini coefficient;710 Favrskov;2010 2010;22.33
70 Gini coefficient;727 Odder;2010 2010;23.35
70 Gini coefficient;730 Randers;2010 2010;23.65
70 Gini coefficient;740 Silkeborg;2010 2010;25.22
70 Gini coefficient;741 Samsø;2010 2010;27.61
70 Gini coefficient;746 Skanderborg;2010 2010;22.89
70 Gini coefficient;751 Aarhus;2010 2010;30.65
70 Gini coefficient;756 Ikast-Brande;2010 2010;24.30
70 Gini coefficient;760 Ringkøbing-Skjern;2010 2010;25.66
70 Gini coefficient;766 Hedensted;2010 2010;23.73
70 Gini coefficient;773 Morsø;2010 2010;26.53
70 Gini coefficient;779 Skive;2010 2010;23.61
70 Gini coefficient;787 Thisted;2010 2010;26.42
70 Gini coefficient;791 Viborg;2010 2010;24.72
70 Gini coefficient;810 Brønderslev;2010 2010;24.62
70 Gini coefficient;813 Frederikshavn;2010 2010;24.85
70 Gini coefficient;820 Vesthimmerlands;2010 2010;25.62
70 Gini coefficient;825 Læsø;2010 2010;23.42
70 Gini coefficient;840 Rebild;2010 2010;25.18
70 Gini coefficient;846 Mariagerfjord;2010 2010;24.57
70 Gini coefficient;849 Jammerbugt;2010 2010;24.75
70 Gini coefficient;851 Aalborg;2010 2010;26.69
70 Gini coefficient;860 Hjørring;2010 2010;26.43
71 Hoover index;000 All Denmark;2010 2010;18.66
71 Hoover index;101 Copenhagen;2010 2010;21.80
71 Hoover index;147 Frederiksberg;2010 2010;22.68
71 Hoover index;151 Ballerup;2010 2010;16.85
71 Hoover index;153 Brøndby;2010 2010;16.85
71 Hoover index;155 Dragør;2010 2010;18.16
71 Hoover index;157 Gentofte;2010 2010;29.16
71 Hoover index;159 Gladsaxe;2010 2010;18.65
71 Hoover index;161 Glostrup;2010 2010;16.83
71 Hoover index;163 Herlev;2010 2010;16.98
71 Hoover index;165 Albertslund;2010 2010;17.60
71 Hoover index;167 Hvidovre;2010 2010;16.73
71 Hoover index;169 Høje-Taastrup;2010 2010;16.59
71 Hoover index;173 Lyngby-Taarbæk;2010 2010;22.47
71 Hoover index;175 Rødovre;2010 2010;16.40
71 Hoover index;183 Ishøj;2010 2010;16.93
71 Hoover index;185 Tårnby;2010 2010;15.80
71 Hoover index;187 Vallensbæk;2010 2010;16.14
71 Hoover index;190 Furesø;2010 2010;19.33
71 Hoover index;201 Allerød;2010 2010;17.23
71 Hoover index;210 Fredensborg;2010 2010;19.99
71 Hoover index;217 Helsingør;2010 2010;18.95
71 Hoover index;219 Hillerød;2010 2010;17.17
71 Hoover index;223 Hørsholm;2010 2010;26.10
71 Hoover index;230 Rudersdal;2010 2010;26.67
71 Hoover index;240 Egedal;2010 2010;14.76
71 Hoover index;250 Frederikssund;2010 2010;16.09
71 Hoover index;253 Greve;2010 2010;16.57
71 Hoover index;259 Køge;2010 2010;16.27
71 Hoover index;260 Halsnæs;2010 2010;15.00
71 Hoover index;265 Roskilde;2010 2010;18.15
71 Hoover index;269 Solrød;2010 2010;16.88
71 Hoover index;270 Gribskov;2010 2010;16.48
71 Hoover index;306 Odsherred;2010 2010;16.02
71 Hoover index;316 Holbæk;2010 2010;16.99
71 Hoover index;320 Faxe;2010 2010;15.84
71 Hoover index;326 Kalundborg;2010 2010;16.51
71 Hoover index;329 Ringsted;2010 2010;16.45
71 Hoover index;330 Slagelse;2010 2010;16.49
71 Hoover index;336 Stevns;2010 2010;15.68
71 Hoover index;340 Sorø;2010 2010;16.93
71 Hoover index;350 Lejre;2010 2010;16.08
71 Hoover index;360 Lolland;2010 2010;16.74
71 Hoover index;370 Næstved;2010 2010;16.47
71 Hoover index;376 Guldborgsund;2010 2010;16.57
71 Hoover index;390 Vordingborg;2010 2010;16.67
71 Hoover index;400 Bornholm;2010 2010;15.54
71 Hoover index;410 Middelfart;2010 2010;16.33
71 Hoover index;420 Assens;2010 2010;15.65
71 Hoover index;430 Faaborg-Midtfyn;2010 2010;15.74
71 Hoover index;440 Kerteminde;2010 2010;15.81
71 Hoover index;450 Nyborg;2010 2010;15.58
71 Hoover index;461 Odense;2010 2010;18.40
71 Hoover index;479 Svendborg;2010 2010;17.15
71 Hoover index;480 Nordfyns;2010 2010;15.44
71 Hoover index;482 Langeland;2010 2010;15.96
71 Hoover index;492 Ærø;2010 2010;17.18
71 Hoover index;510 Haderslev;2010 2010;16.98
71 Hoover index;530 Billund;2010 2010;16.70
71 Hoover index;540 Sønderborg;2010 2010;16.75
71 Hoover index;550 Tønder;2010 2010;17.21
71 Hoover index;561 Esbjerg;2010 2010;17.57
71 Hoover index;563 Fanø;2010 2010;17.92
71 Hoover index;573 Varde;2010 2010;17.08
71 Hoover index;575 Vejen;2010 2010;17.12
71 Hoover index;580 Aabenraa;2010 2010;17.05
71 Hoover index;607 Fredericia;2010 2010;16.65
71 Hoover index;615 Horsens;2010 2010;16.95
71 Hoover index;621 Kolding;2010 2010;17.15
71 Hoover index;630 Vejle;2010 2010;17.81
71 Hoover index;657 Herning;2010 2010;16.74
71 Hoover index;661 Holstebro;2010 2010;17.08
71 Hoover index;665 Lemvig;2010 2010;19.65
71 Hoover index;671 Struer;2010 2010;16.55
71 Hoover index;706 Syddjurs;2010 2010;16.96
71 Hoover index;707 Norddjurs;2010 2010;16.75
71 Hoover index;710 Favrskov;2010 2010;15.14
71 Hoover index;727 Odder;2010 2010;15.87
71 Hoover index;730 Randers;2010 2010;16.17
71 Hoover index;740 Silkeborg;2010 2010;17.04
71 Hoover index;741 Samsø;2010 2010;18.10
71 Hoover index;746 Skanderborg;2010 2010;15.54
71 Hoover index;751 Aarhus;2010 2010;21.00
71 Hoover index;756 Ikast-Brande;2010 2010;16.35
71 Hoover index;760 Ringkøbing-Skjern;2010 2010;17.03
71 Hoover index;766 Hedensted;2010 2010;15.94
71 Hoover index;773 Morsø;2010 2010;17.45
71 Hoover index;779 Skive;2010 2010;16.03
71 Hoover index;787 Thisted;2010 2010;17.49
71 Hoover index;791 Viborg;2010 2010;16.63
71 Hoover index;810 Brønderslev;2010 2010;16.45
71 Hoover index;813 Frederikshavn;2010 2010;16.75
71 Hoover index;820 Vesthimmerlands;2010 2010;17.05
71 Hoover index;825 Læsø;2010 2010;16.11
71 Hoover index;840 Rebild;2010 2010;16.94
71 Hoover index;846 Mariagerfjord;2010 2010;16.63
71 Hoover index;849 Jammerbugt;2010 2010;16.60
71 Hoover index;851 Aalborg;2010 2010;18.19
71 Hoover index;860 Hjørring;2010 2010;17.59
72 S80/S20 (Income quintile share ratio);000 All Denmark;2010 2010;4.26
72 S80/S20 (Income quintile share ratio);101 Copenhagen;2010 2010;5.65
72 S80/S20 (Income quintile share ratio);147 Frederiksberg;2010 2010;5.86
72 S80/S20 (Income quintile share ratio);151 Ballerup;2010 2010;3.43
72 S80/S20 (Income quintile share ratio);153 Brøndby;2010 2010;3.40
72 S80/S20 (Income quintile share ratio);155 Dragør;2010 2010;4.28
72 S80/S20 (Income quintile share ratio);157 Gentofte;2010 2010;12.84
72 S80/S20 (Income quintile share ratio);159 Gladsaxe;2010 2010;4.06
72 S80/S20 (Income quintile share ratio);161 Glostrup;2010 2010;3.37
72 S80/S20 (Income quintile share ratio);163 Herlev;2010 2010;3.46
72 S80/S20 (Income quintile share ratio);165 Albertslund;2010 2010;3.75
72 S80/S20 (Income quintile share ratio);167 Hvidovre;2010 2010;3.49
72 S80/S20 (Income quintile share ratio);169 Høje-Taastrup;2010 2010;3.44
72 S80/S20 (Income quintile share ratio);173 Lyngby-Taarbæk;2010 2010;5.77
72 S80/S20 (Income quintile share ratio);175 Rødovre;2010 2010;3.29
72 S80/S20 (Income quintile share ratio);183 Ishøj;2010 2010;3.48
72 S80/S20 (Income quintile share ratio);185 Tårnby;2010 2010;3.34
72 S80/S20 (Income quintile share ratio);187 Vallensbæk;2010 2010;3.44
72 S80/S20 (Income quintile share ratio);190 Furesø;2010 2010;4.38
72 S80/S20 (Income quintile share ratio);201 Allerød;2010 2010;3.75
72 S80/S20 (Income quintile share ratio);210 Fredensborg;2010 2010;4.54
72 S80/S20 (Income quintile share ratio);217 Helsingør;2010 2010;4.24
72 S80/S20 (Income quintile share ratio);219 Hillerød;2010 2010;3.75
72 S80/S20 (Income quintile share ratio);223 Hørsholm;2010 2010;8.14
72 S80/S20 (Income quintile share ratio);230 Rudersdal;2010 2010;9.61
72 S80/S20 (Income quintile share ratio);240 Egedal;2010 2010;3.10
72 S80/S20 (Income quintile share ratio);250 Frederikssund;2010 2010;3.36
72 S80/S20 (Income quintile share ratio);253 Greve;2010 2010;3.51
72 S80/S20 (Income quintile share ratio);259 Køge;2010 2010;3.37
72 S80/S20 (Income quintile share ratio);260 Halsnæs;2010 2010;3.04
72 S80/S20 (Income quintile share ratio);265 Roskilde;2010 2010;4.08
72 S80/S20 (Income quintile share ratio);269 Solrød;2010 2010;3.65
72 S80/S20 (Income quintile share ratio);270 Gribskov;2010 2010;3.52
72 S80/S20 (Income quintile share ratio);306 Odsherred;2010 2010;3.37
72 S80/S20 (Income quintile share ratio);316 Holbæk;2010 2010;3.70
72 S80/S20 (Income quintile share ratio);320 Faxe;2010 2010;3.40
72 S80/S20 (Income quintile share ratio);326 Kalundborg;2010 2010;3.54
72 S80/S20 (Income quintile share ratio);329 Ringsted;2010 2010;3.45
72 S80/S20 (Income quintile share ratio);330 Slagelse;2010 2010;3.52
72 S80/S20 (Income quintile share ratio);336 Stevns;2010 2010;3.28
72 S80/S20 (Income quintile share ratio);340 Sorø;2010 2010;3.95
72 S80/S20 (Income quintile share ratio);350 Lejre;2010 2010;3.47
72 S80/S20 (Income quintile share ratio);360 Lolland;2010 2010;3.53
72 S80/S20 (Income quintile share ratio);370 Næstved;2010 2010;3.60
72 S80/S20 (Income quintile share ratio);376 Guldborgsund;2010 2010;3.55
72 S80/S20 (Income quintile share ratio);390 Vordingborg;2010 2010;3.60
72 S80/S20 (Income quintile share ratio);400 Bornholm;2010 2010;3.21
72 S80/S20 (Income quintile share ratio);410 Middelfart;2010 2010;3.34
72 S80/S20 (Income quintile share ratio);420 Assens;2010 2010;3.26
72 S80/S20 (Income quintile share ratio);430 Faaborg-Midtfyn;2010 2010;3.33
72 S80/S20 (Income quintile share ratio);440 Kerteminde;2010 2010;3.27
72 S80/S20 (Income quintile share ratio);450 Nyborg;2010 2010;3.19
72 S80/S20 (Income quintile share ratio);461 Odense;2010 2010;4.10
72 S80/S20 (Income quintile share ratio);479 Svendborg;2010 2010;3.63
72 S80/S20 (Income quintile share ratio);480 Nordfyns;2010 2010;3.27
72 S80/S20 (Income quintile share ratio);482 Langeland;2010 2010;3.36
72 S80/S20 (Income quintile share ratio);492 Ærø;2010 2010;3.59
72 S80/S20 (Income quintile share ratio);510 Haderslev;2010 2010;3.69
72 S80/S20 (Income quintile share ratio);530 Billund;2010 2010;3.70
72 S80/S20 (Income quintile share ratio);540 Sønderborg;2010 2010;3.42
72 S80/S20 (Income quintile share ratio);550 Tønder;2010 2010;4.15
72 S80/S20 (Income quintile share ratio);561 Esbjerg;2010 2010;3.83
72 S80/S20 (Income quintile share ratio);563 Fanø;2010 2010;3.83
72 S80/S20 (Income quintile share ratio);573 Varde;2010 2010;4.20
72 S80/S20 (Income quintile share ratio);575 Vejen;2010 2010;3.99
72 S80/S20 (Income quintile share ratio);580 Aabenraa;2010 2010;3.69
72 S80/S20 (Income quintile share ratio);607 Fredericia;2010 2010;3.48
72 S80/S20 (Income quintile share ratio);615 Horsens;2010 2010;3.74
72 S80/S20 (Income quintile share ratio);621 Kolding;2010 2010;3.67
72 S80/S20 (Income quintile share ratio);630 Vejle;2010 2010;3.98
72 S80/S20 (Income quintile share ratio);657 Herning;2010 2010;3.70
72 S80/S20 (Income quintile share ratio);661 Holstebro;2008 2008;4.60
72 S80/S20 (Income quintile share ratio);665 Lemvig;2008 2008;7.98
72 S80/S20 (Income quintile share ratio);671 Struer;2008 2008;4.27
72 S80/S20 (Income quintile share ratio);706 Syddjurs;2008 2008;3.90
72 S80/S20 (Income quintile share ratio);707 Norddjurs;2008 2008;4.59
72 S80/S20 (Income quintile share ratio);710 Favrskov;2008 2008;3.51
72 S80/S20 (Income quintile share ratio);727 Odder;2008 2008;3.97
72 S80/S20 (Income quintile share ratio);730 Randers;2008 2008;3.69
72 S80/S20 (Income quintile share ratio);740 Silkeborg;2008 2008;4.48
72 S80/S20 (Income quintile share ratio);741 Samsø;2008 2008;5.23
72 S80/S20 (Income quintile share ratio);746 Skanderborg;2008 2008;3.52
72 S80/S20 (Income quintile share ratio);751 Aarhus;2008 2008;5.40
72 S80/S20 (Income quintile share ratio);756 Ikast-Brande;2008 2008;4.39
72 S80/S20 (Income quintile share ratio);760 Ringkøbing-Skjern;2008 2008;6.16
72 S80/S20 (Income quintile share ratio);766 Hedensted;2008 2008;4.68
72 S80/S20 (Income quintile share ratio);773 Morsø;2008 2008;6.85
72 S80/S20 (Income quintile share ratio);779 Skive;2008 2008;4.10
72 S80/S20 (Income quintile share ratio);787 Thisted;2008 2008;5.46
72 S80/S20 (Income quintile share ratio);791 Viborg;2008 2008;4.41
72 S80/S20 (Income quintile share ratio);810 Brønderslev;2008 2008;11.28
72 S80/S20 (Income quintile share ratio);813 Frederikshavn;2008 2008;4.14
72 S80/S20 (Income quintile share ratio);820 Vesthimmerlands;2008 2008;6.56
72 S80/S20 (Income quintile share ratio);825 Læsø;2008 2008;3.38
72 S80/S20 (Income quintile share ratio);840 Rebild;2008 2008;7.43
72 S80/S20 (Income quintile share ratio);846 Mariagerfjord;2008 2008;4.63
72 S80/S20 (Income quintile share ratio);849 Jammerbugt;2008 2008;5.11
72 S80/S20 (Income quintile share ratio);851 Aalborg;2008 2008;4.52
72 S80/S20 (Income quintile share ratio);860 Hjørring;2008 2008;5.25
73 P90/10 (Upper decile boundary divided by lower);000 All Denmark;2008 2008;2.82
73 P90/10 (Upper decile boundary divided by lower);101 Copenhagen;2008 2008;3.60
73 P90/10 (Upper decile boundary divided by lower);147 Frederiksberg;2008 2008;3.74
73 P90/10 (Upper decile boundary divided by lower);151 Ballerup;2008 2008;2.67
73 P90/10 (Upper decile boundary divided by lower);153 Brøndby;2008 2008;2.61
73 P90/10 (Upper decile boundary divided by lower);155 Dragør;2008 2008;3.02
73 P90/10 (Upper decile boundary divided by lower);157 Gentofte;2008 2008;4.68
73 P90/10 (Upper decile boundary divided by lower);159 Gladsaxe;2008 2008;2.94
73 P90/10 (Upper decile boundary divided by lower);161 Glostrup;2008 2008;2.65
73 P90/10 (Upper decile boundary divided by lower);163 Herlev;2008 2008;2.70
73 P90/10 (Upper decile boundary divided by lower);165 Albertslund;2008 2008;2.86
73 P90/10 (Upper decile boundary divided by lower);167 Hvidovre;2008 2008;2.65
73 P90/10 (Upper decile boundary divided by lower);169 Høje-Taastrup;2008 2008;2.73
73 P90/10 (Upper decile boundary divided by lower);173 Lyngby-Taarbæk;2008 2008;3.57
73 P90/10 (Upper decile boundary divided by lower);175 Rødovre;2008 2008;2.59
73 P90/10 (Upper decile boundary divided by lower);183 Ishøj;2008 2008;2.74
73 P90/10 (Upper decile boundary divided by lower);185 Tårnby;2008 2008;2.61
73 P90/10 (Upper decile boundary divided by lower);187 Vallensbæk;2008 2008;2.66
73 P90/10 (Upper decile boundary divided by lower);190 Furesø;2008 2008;3.06
73 P90/10 (Upper decile boundary divided by lower);201 Allerød;2008 2008;2.70
73 P90/10 (Upper decile boundary divided by lower);210 Fredensborg;2008 2008;3.02
73 P90/10 (Upper decile boundary divided by lower);217 Helsingør;2008 2008;2.91
73 P90/10 (Upper decile boundary divided by lower);219 Hillerød;2008 2008;2.78
73 P90/10 (Upper decile boundary divided by lower);223 Hørsholm;2008 2008;3.71
73 P90/10 (Upper decile boundary divided by lower);230 Rudersdal;2008 2008;3.95
73 P90/10 (Upper decile boundary divided by lower);240 Egedal;2008 2008;2.35
73 P90/10 (Upper decile boundary divided by lower);250 Frederikssund;2008 2008;2.56
73 P90/10 (Upper decile boundary divided by lower);253 Greve;2008 2008;2.70
73 P90/10 (Upper decile boundary divided by lower);259 Køge;2008 2008;2.60
73 P90/10 (Upper decile boundary divided by lower);260 Halsnæs;2008 2008;2.43
73 P90/10 (Upper decile boundary divided by lower);265 Roskilde;2008 2008;2.91
73 P90/10 (Upper decile boundary divided by lower);269 Solrød;2008 2008;2.66
73 P90/10 (Upper decile boundary divided by lower);270 Gribskov;2008 2008;2.67
73 P90/10 (Upper decile boundary divided by lower);306 Odsherred;2008 2008;2.49
73 P90/10 (Upper decile boundary divided by lower);316 Holbæk;2008 2008;2.67
