DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;630 Vejle;2013 2013;149969
3DC Third decil;630 Vejle;2013 2013;172256
4DC Fourth decil;630 Vejle;2013 2013;194986
5DC Fifth decil;630 Vejle;2013 2013;217609
6DC Sixth decil;630 Vejle;2013 2013;239883
7DC Seventh decil;630 Vejle;2013 2013;264922
8DC Eigth decil;630 Vejle;2013 2013;296261
9DC Ninth decil;630 Vejle;2013 2013;341079
10DC Tenth decil;630 Vejle;2013 2013;540939
1DC First decil;657 Herning;2013 2013;86114
2DC Second decil;657 Herning;2013 2013;146822
3DC Third decil;657 Herning;2013 2013;169592
4DC Fourth decil;657 Herning;2013 2013;191070
5DC Fifth decil;657 Herning;2013 2013;211494
6DC Sixth decil;657 Herning;2013 2013;232026
7DC Seventh decil;657 Herning;2013 2013;254529
8DC Eigth decil;657 Herning;2013 2013;281959
9DC Ninth decil;657 Herning;2013 2013;322965
10DC Tenth decil;657 Herning;2013 2013;507400
1DC First decil;661 Holstebro;2013 2013;84366
2DC Second decil;661 Holstebro;2013 2013;147278
3DC Third decil;661 Holstebro;2013 2013;168974
4DC Fourth decil;661 Holstebro;2013 2013;190940
5DC Fifth decil;661 Holstebro;2013 2013;211844
6DC Sixth decil;661 Holstebro;2013 2013;232287
7DC Seventh decil;661 Holstebro;2013 2013;254674
8DC Eigth decil;661 Holstebro;2013 2013;282674
9DC Ninth decil;661 Holstebro;2013 2013;323452
10DC Tenth decil;661 Holstebro;2013 2013;558101
1DC First decil;665 Lemvig;2013 2013;85409
2DC Second decil;665 Lemvig;2013 2013;148312
3DC Third decil;665 Lemvig;2013 2013;167560
4DC Fourth decil;665 Lemvig;2013 2013;187507
5DC Fifth decil;665 Lemvig;2013 2013;206269
6DC Sixth decil;665 Lemvig;2013 2013;225750
7DC Seventh decil;665 Lemvig;2013 2013;247973
8DC Eigth decil;665 Lemvig;2013 2013;275464
9DC Ninth decil;665 Lemvig;2013 2013;316290
10DC Tenth decil;665 Lemvig;2013 2013;581267
1DC First decil;671 Struer;2013 2013;90194
2DC Second decil;671 Struer;2013 2013;147299
3DC Third decil;671 Struer;2013 2013;165452
4DC Fourth decil;671 Struer;2013 2013;184592
5DC Fifth decil;671 Struer;2013 2013;203242
6DC Sixth decil;671 Struer;2013 2013;222424
7DC Seventh decil;671 Struer;2013 2013;243312
8DC Eigth decil;671 Struer;2013 2013;269998
9DC Ninth decil;671 Struer;2013 2013;308272
10DC Tenth decil;671 Struer;2013 2013;495960
1DC First decil;706 Syddjurs;2013 2013;100567
2DC Second decil;706 Syddjurs;2013 2013;154360
3DC Third decil;706 Syddjurs;2013 2013;175703
4DC Fourth decil;706 Syddjurs;2013 2013;196400
5DC Fifth decil;706 Syddjurs;2013 2013;216717
6DC Sixth decil;706 Syddjurs;2013 2013;237047
7DC Seventh decil;706 Syddjurs;2013 2013;259012
8DC Eigth decil;706 Syddjurs;2013 2013;285623
9DC Ninth decil;706 Syddjurs;2013 2013;327382
10DC Tenth decil;706 Syddjurs;2013 2013;556946
1DC First decil;707 Norddjurs;2013 2013;79535
2DC Second decil;707 Norddjurs;2013 2013;141446
3DC Third decil;707 Norddjurs;2013 2013;159938
4DC Fourth decil;707 Norddjurs;2013 2013;177732
5DC Fifth decil;707 Norddjurs;2013 2013;198124
6DC Sixth decil;707 Norddjurs;2013 2013;217798
7DC Seventh decil;707 Norddjurs;2013 2013;240257
8DC Eigth decil;707 Norddjurs;2013 2013;266431
9DC Ninth decil;707 Norddjurs;2013 2013;303983
10DC Tenth decil;707 Norddjurs;2013 2013;442642
1DC First decil;710 Favrskov;2013 2013;111216
2DC Second decil;710 Favrskov;2013 2013;162112
3DC Third decil;710 Favrskov;2013 2013;186718
4DC Fourth decil;710 Favrskov;2013 2013;209251
5DC Fifth decil;710 Favrskov;2013 2013;230224
6DC Sixth decil;710 Favrskov;2013 2013;250676
7DC Seventh decil;710 Favrskov;2013 2013;273227
8DC Eigth decil;710 Favrskov;2013 2013;300538
9DC Ninth decil;710 Favrskov;2013 2013;340257
10DC Tenth decil;710 Favrskov;2013 2013;499851
1DC First decil;727 Odder;2013 2013;102823
