DECILGEN;KOMMUNEDK;TID;INDHOLD 
5DC Fifth decil;727 Odder;2007 2007;187059
6DC Sixth decil;727 Odder;2007 2007;203285
7DC Seventh decil;727 Odder;2007 2007;220346
8DC Eigth decil;727 Odder;2007 2007;242246
9DC Ninth decil;727 Odder;2007 2007;275381
10DC Tenth decil;727 Odder;2007 2007;429098
1DC First decil;730 Randers;2007 2007;69711
2DC Second decil;730 Randers;2007 2007;122002
3DC Third decil;730 Randers;2007 2007;138808
4DC Fourth decil;730 Randers;2007 2007;156049
5DC Fifth decil;730 Randers;2007 2007;172086
6DC Sixth decil;730 Randers;2007 2007;187391
7DC Seventh decil;730 Randers;2007 2007;204340
8DC Eigth decil;730 Randers;2007 2007;224711
9DC Ninth decil;730 Randers;2007 2007;254047
10DC Tenth decil;730 Randers;2007 2007;396540
1DC First decil;740 Silkeborg;2007 2007;76409
2DC Second decil;740 Silkeborg;2007 2007;128828
3DC Third decil;740 Silkeborg;2007 2007;148336
4DC Fourth decil;740 Silkeborg;2007 2007;166518
5DC Fifth decil;740 Silkeborg;2007 2007;182822
6DC Sixth decil;740 Silkeborg;2007 2007;198818
7DC Seventh decil;740 Silkeborg;2007 2007;216327
8DC Eigth decil;740 Silkeborg;2007 2007;238072
9DC Ninth decil;740 Silkeborg;2007 2007;270912
10DC Tenth decil;740 Silkeborg;2007 2007;497379
1DC First decil;741 Samsø;2007 2007;57993
2DC Second decil;741 Samsø;2007 2007;115315
3DC Third decil;741 Samsø;2007 2007;128838
4DC Fourth decil;741 Samsø;2007 2007;142483
5DC Fifth decil;741 Samsø;2007 2007;156033
6DC Sixth decil;741 Samsø;2007 2007;170349
7DC Seventh decil;741 Samsø;2007 2007;188309
8DC Eigth decil;741 Samsø;2007 2007;209108
9DC Ninth decil;741 Samsø;2007 2007;240439
10DC Tenth decil;741 Samsø;2007 2007;391699
1DC First decil;746 Skanderborg;2007 2007;93355
2DC Second decil;746 Skanderborg;2007 2007;141781
3DC Third decil;746 Skanderborg;2007 2007;163244
4DC Fourth decil;746 Skanderborg;2007 2007;181531
5DC Fifth decil;746 Skanderborg;2007 2007;197773
6DC Sixth decil;746 Skanderborg;2007 2007;213587
7DC Seventh decil;746 Skanderborg;2007 2007;231932
8DC Eigth decil;746 Skanderborg;2007 2007;254346
9DC Ninth decil;746 Skanderborg;2007 2007;287410
10DC Tenth decil;746 Skanderborg;2007 2007;456122
1DC First decil;751 Aarhus;2007 2007;50660
2DC Second decil;751 Aarhus;2007 2007;106479
3DC Third decil;751 Aarhus;2007 2007;129711
4DC Fourth decil;751 Aarhus;2007 2007;150278
5DC Fifth decil;751 Aarhus;2007 2007;171482
6DC Sixth decil;751 Aarhus;2007 2007;193032
7DC Seventh decil;751 Aarhus;2007 2007;215520
8DC Eigth decil;751 Aarhus;2007 2007;242039
9DC Ninth decil;751 Aarhus;2007 2007;280201
10DC Tenth decil;751 Aarhus;2007 2007;482900
1DC First decil;756 Ikast-Brande;2007 2007;71586
2DC Second decil;756 Ikast-Brande;2007 2007;124653
3DC Third decil;756 Ikast-Brande;2007 2007;142361
4DC Fourth decil;756 Ikast-Brande;2007 2007;159437
5DC Fifth decil;756 Ikast-Brande;2007 2007;175062
6DC Sixth decil;756 Ikast-Brande;2007 2007;190031
7DC Seventh decil;756 Ikast-Brande;2007 2007;205937
8DC Eigth decil;756 Ikast-Brande;2007 2007;226106
9DC Ninth decil;756 Ikast-Brande;2007 2007;256085
10DC Tenth decil;756 Ikast-Brande;2007 2007;484910
1DC First decil;760 Ringkøbing-Skjern;2007 2007;57472
2DC Second decil;760 Ringkøbing-Skjern;2007 2007;126762
3DC Third decil;760 Ringkøbing-Skjern;2007 2007;146167
4DC Fourth decil;760 Ringkøbing-Skjern;2007 2007;163315
5DC Fifth decil;760 Ringkøbing-Skjern;2007 2007;178359
6DC Sixth decil;760 Ringkøbing-Skjern;2007 2007;193571
7DC Seventh decil;760 Ringkøbing-Skjern;2007 2007;210507
8DC Eigth decil;760 Ringkøbing-Skjern;2007 2007;232137
9DC Ninth decil;760 Ringkøbing-Skjern;2007 2007;265090
10DC Tenth decil;760 Ringkøbing-Skjern;2007 2007;460261
1DC First decil;766 Hedensted;2007 2007;83238
2DC Second decil;766 Hedensted;2007 2007;134838
3DC Third decil;766 Hedensted;2007 2007;153737
4DC Fourth decil;766 Hedensted;2007 2007;171182
5DC Fifth decil;766 Hedensted;2007 2007;186656
6DC Sixth decil;766 Hedensted;2007 2007;201364
7DC Seventh decil;766 Hedensted;2007 2007;217895
8DC Eigth decil;766 Hedensted;2007 2007;239099
9DC Ninth decil;766 Hedensted;2007 2007;269922
10DC Tenth decil;766 Hedensted;2007 2007;422597
1DC First decil;773 Morsø;2007 2007;29833
2DC Second decil;773 Morsø;2007 2007;116900
3DC Third decil;773 Morsø;2007 2007;132748
4DC Fourth decil;773 Morsø;2007 2007;147645
5DC Fifth decil;773 Morsø;2007 2007;161993
6DC Sixth decil;773 Morsø;2007 2007;177147
7DC Seventh decil;773 Morsø;2007 2007;193497
8DC Eigth decil;773 Morsø;2007 2007;213602
9DC Ninth decil;773 Morsø;2007 2007;242135
10DC Tenth decil;773 Morsø;2007 2007;382610
1DC First decil;779 Skive;2007 2007;71296
2DC Second decil;779 Skive;2007 2007;122273
3DC Third decil;779 Skive;2007 2007;138787
4DC Fourth decil;779 Skive;2007 2007;155180
5DC Fifth decil;779 Skive;2007 2007;170177
6DC Sixth decil;779 Skive;2007 2007;185188
7DC Seventh decil;779 Skive;2007 2007;201476
8DC Eigth decil;779 Skive;2007 2007;221394
9DC Ninth decil;779 Skive;2007 2007;251619
10DC Tenth decil;779 Skive;2007 2007;407005
1DC First decil;787 Thisted;2007 2007;61024
2DC Second decil;787 Thisted;2007 2007;119458
3DC Third decil;787 Thisted;2007 2007;137027
4DC Fourth decil;787 Thisted;2007 2007;153517
5DC Fifth decil;787 Thisted;2007 2007;169472
6DC Sixth decil;787 Thisted;2007 2007;184315
7DC Seventh decil;787 Thisted;2007 2007;200948
8DC Eigth decil;787 Thisted;2007 2007;221079
9DC Ninth decil;787 Thisted;2007 2007;251726
10DC Tenth decil;787 Thisted;2007 2007;446928
1DC First decil;791 Viborg;2007 2007;73668
2DC Second decil;791 Viborg;2007 2007;126524
3DC Third decil;791 Viborg;2007 2007;145612
4DC Fourth decil;791 Viborg;2007 2007;162441
5DC Fifth decil;791 Viborg;2007 2007;177712
6DC Sixth decil;791 Viborg;2007 2007;192945
7DC Seventh decil;791 Viborg;2007 2007;209714
8DC Eigth decil;791 Viborg;2007 2007;230358
9DC Ninth decil;791 Viborg;2007 2007;261236
10DC Tenth decil;791 Viborg;2007 2007;425624
1DC First decil;810 Brønderslev;2007 2007;43206
2DC Second decil;810 Brønderslev;2007 2007;119706
3DC Third decil;810 Brønderslev;2007 2007;135782
4DC Fourth decil;810 Brønderslev;2007 2007;152199
5DC Fifth decil;810 Brønderslev;2007 2007;167851
6DC Sixth decil;810 Brønderslev;2007 2007;183162
7DC Seventh decil;810 Brønderslev;2007 2007;198259
8DC Eigth decil;810 Brønderslev;2007 2007;217123
9DC Ninth decil;810 Brønderslev;2007 2007;246671
10DC Tenth decil;810 Brønderslev;2007 2007;415600
1DC First decil;813 Frederikshavn;2007 2007;68949
2DC Second decil;813 Frederikshavn;2007 2007;123740
3DC Third decil;813 Frederikshavn;2007 2007;140029
4DC Fourth decil;813 Frederikshavn;2007 2007;156309
5DC Fifth decil;813 Frederikshavn;2007 2007;171904
6DC Sixth decil;813 Frederikshavn;2007 2007;186976
7DC Seventh decil;813 Frederikshavn;2007 2007;203276
8DC Eigth decil;813 Frederikshavn;2007 2007;223485
9DC Ninth decil;813 Frederikshavn;2007 2007;254174
10DC Tenth decil;813 Frederikshavn;2007 2007;411148
1DC First decil;820 Vesthimmerlands;2007 2007;54311
2DC Second decil;820 Vesthimmerlands;2007 2007;120213
3DC Third decil;820 Vesthimmerlands;2007 2007;135552
4DC Fourth decil;820 Vesthimmerlands;2007 2007;151365
5DC Fifth decil;820 Vesthimmerlands;2007 2007;166419
6DC Sixth decil;820 Vesthimmerlands;2007 2007;181384
7DC Seventh decil;820 Vesthimmerlands;2007 2007;198032
8DC Eigth decil;820 Vesthimmerlands;2007 2007;218819
9DC Ninth decil;820 Vesthimmerlands;2007 2007;249137
10DC Tenth decil;820 Vesthimmerlands;2007 2007;403609
1DC First decil;825 Læsø;2007 2007;63496
2DC Second decil;825 Læsø;2007 2007;118265
3DC Third decil;825 Læsø;2007 2007;131096
4DC Fourth decil;825 Læsø;2007 2007;143750
5DC Fifth decil;825 Læsø;2007 2007;157630
6DC Sixth decil;825 Læsø;2007 2007;170688
7DC Seventh decil;825 Læsø;2007 2007;187183
8DC Eigth decil;825 Læsø;2007 2007;209216
9DC Ninth decil;825 Læsø;2007 2007;241951
10DC Tenth decil;825 Læsø;2007 2007;435883
1DC First decil;840 Rebild;2007 2007;52527
2DC Second decil;840 Rebild;2007 2007;126730
3DC Third decil;840 Rebild;2007 2007;146371
4DC Fourth decil;840 Rebild;2007 2007;164094
5DC Fifth decil;840 Rebild;2007 2007;180134
6DC Sixth decil;840 Rebild;2007 2007;195723
7DC Seventh decil;840 Rebild;2007 2007;213905
8DC Eigth decil;840 Rebild;2007 2007;235773
9DC Ninth decil;840 Rebild;2007 2007;268028
10DC Tenth decil;840 Rebild;2007 2007;428160
1DC First decil;846 Mariagerfjord;2007 2007;67495
2DC Second decil;846 Mariagerfjord;2007 2007;123629
3DC Third decil;846 Mariagerfjord;2007 2007;140550
4DC Fourth decil;846 Mariagerfjord;2007 2007;156697
5DC Fifth decil;846 Mariagerfjord;2007 2007;172165
6DC Sixth decil;846 Mariagerfjord;2007 2007;187846
7DC Seventh decil;846 Mariagerfjord;2007 2007;204571
8DC Eigth decil;846 Mariagerfjord;2007 2007;225422
9DC Ninth decil;846 Mariagerfjord;2007 2007;256553
10DC Tenth decil;846 Mariagerfjord;2007 2007;406538
1DC First decil;849 Jammerbugt;2007 2007;63456
2DC Second decil;849 Jammerbugt;2007 2007;121739
3DC Third decil;849 Jammerbugt;2007 2007;138700
4DC Fourth decil;849 Jammerbugt;2007 2007;155094
5DC Fifth decil;849 Jammerbugt;2007 2007;170295
6DC Sixth decil;849 Jammerbugt;2007 2007;185642
7DC Seventh decil;849 Jammerbugt;2007 2007;202355
8DC Eigth decil;849 Jammerbugt;2007 2007;222692
9DC Ninth decil;849 Jammerbugt;2007 2007;253071
10DC Tenth decil;849 Jammerbugt;2007 2007;404919
1DC First decil;851 Aalborg;2007 2007;62284
2DC Second decil;851 Aalborg;2007 2007;115444
3DC Third decil;851 Aalborg;2007 2007;134413
4DC Fourth decil;851 Aalborg;2007 2007;152729
5DC Fifth decil;851 Aalborg;2007 2007;170895
6DC Sixth decil;851 Aalborg;2007 2007;188420
7DC Seventh decil;851 Aalborg;2007 2007;207255
8DC Eigth decil;851 Aalborg;2007 2007;229379
9DC Ninth decil;851 Aalborg;2007 2007;261903
10DC Tenth decil;851 Aalborg;2007 2007;422051
1DC First decil;860 Hjørring;2007 2007;60077
2DC Second decil;860 Hjørring;2007 2007;120301
3DC Third decil;860 Hjørring;2007 2007;136550
4DC Fourth decil;860 Hjørring;2007 2007;152311
5DC Fifth decil;860 Hjørring;2007 2007;167438
6DC Sixth decil;860 Hjørring;2007 2007;182654
7DC Seventh decil;860 Hjørring;2007 2007;198871
8DC Eigth decil;860 Hjørring;2007 2007;219316
9DC Ninth decil;860 Hjørring;2007 2007;249953
10DC Tenth decil;860 Hjørring;2007 2007;400782
1DC First decil;000 All Denmark;2004 2004;68760
2DC Second decil;000 All Denmark;2004 2004;111091
3DC Third decil;000 All Denmark;2004 2004;128763
4DC Fourth decil;000 All Denmark;2004 2004;146523
5DC Fifth decil;000 All Denmark;2004 2004;163447
6DC Sixth decil;000 All Denmark;2004 2004;180018
7DC Seventh decil;000 All Denmark;2004 2004;197955
8DC Eigth decil;000 All Denmark;2004 2004;219993
9DC Ninth decil;000 All Denmark;2004 2004;252665
10DC Tenth decil;000 All Denmark;2004 2004;383943
1DC First decil;101 Copenhagen;2004 2004;49540
2DC Second decil;101 Copenhagen;2004 2004;90047
3DC Third decil;101 Copenhagen;2004 2004;107138
4DC Fourth decil;101 Copenhagen;2004 2004;122336
5DC Fifth decil;101 Copenhagen;2004 2004;140097
6DC Sixth decil;101 Copenhagen;2004 2004;160434
7DC Seventh decil;101 Copenhagen;2004 2004;181919
8DC Eigth decil;101 Copenhagen;2004 2004;206288
9DC Ninth decil;101 Copenhagen;2004 2004;240341
10DC Tenth decil;101 Copenhagen;2004 2004;353119
1DC First decil;147 Frederiksberg;2004 2004;60251
2DC Second decil;147 Frederiksberg;2004 2004;103530
3DC Third decil;147 Frederiksberg;2004 2004;124098
4DC Fourth decil;147 Frederiksberg;2004 2004;146082
5DC Fifth decil;147 Frederiksberg;2004 2004;168996
6DC Sixth decil;147 Frederiksberg;2004 2004;192117
7DC Seventh decil;147 Frederiksberg;2004 2004;217298
8DC Eigth decil;147 Frederiksberg;2004 2004;247724
9DC Ninth decil;147 Frederiksberg;2004 2004;290636
10DC Tenth decil;147 Frederiksberg;2004 2004;453348
1DC First decil;151 Ballerup;2004 2004;85301
2DC Second decil;151 Ballerup;2004 2004;119727
3DC Third decil;151 Ballerup;2004 2004;138189
4DC Fourth decil;151 Ballerup;2004 2004;156394
5DC Fifth decil;151 Ballerup;2004 2004;173703
6DC Sixth decil;151 Ballerup;2004 2004;190715
7DC Seventh decil;151 Ballerup;2004 2004;209475
8DC Eigth decil;151 Ballerup;2004 2004;231527
9DC Ninth decil;151 Ballerup;2004 2004;263087
10DC Tenth decil;151 Ballerup;2004 2004;351826
1DC First decil;153 Brøndby;2004 2004;77452
2DC Second decil;153 Brøndby;2004 2004;111583
3DC Third decil;153 Brøndby;2004 2004;125484
4DC Fourth decil;153 Brøndby;2004 2004;140399
5DC Fifth decil;153 Brøndby;2004 2004;157674
6DC Sixth decil;153 Brøndby;2004 2004;175422
7DC Seventh decil;153 Brøndby;2004 2004;194273
8DC Eigth decil;153 Brøndby;2004 2004;215179
9DC Ninth decil;153 Brøndby;2004 2004;245206
10DC Tenth decil;153 Brøndby;2004 2004;323875
1DC First decil;155 Dragør;2004 2004;94467
2DC Second decil;155 Dragør;2004 2004;144307
3DC Third decil;155 Dragør;2004 2004;174073
4DC Fourth decil;155 Dragør;2004 2004;196078
5DC Fifth decil;155 Dragør;2004 2004;215247
6DC Sixth decil;155 Dragør;2004 2004;233581
7DC Seventh decil;155 Dragør;2004 2004;254506
8DC Eigth decil;155 Dragør;2004 2004;280038
9DC Ninth decil;155 Dragør;2004 2004;316526
10DC Tenth decil;155 Dragør;2004 2004;458760
1DC First decil;157 Gentofte;2004 2004;51204
2DC Second decil;157 Gentofte;2004 2004;130196
3DC Third decil;157 Gentofte;2004 2004;166547
4DC Fourth decil;157 Gentofte;2004 2004;198548
5DC Fifth decil;157 Gentofte;2004 2004;227187
6DC Sixth decil;157 Gentofte;2004 2004;255922
7DC Seventh decil;157 Gentofte;2004 2004;287825
8DC Eigth decil;157 Gentofte;2004 2004;329278
9DC Ninth decil;157 Gentofte;2004 2004;397023
10DC Tenth decil;157 Gentofte;2004 2004;831847
1DC First decil;159 Gladsaxe;2004 2004;76120
2DC Second decil;159 Gladsaxe;2004 2004;115043
3DC Third decil;159 Gladsaxe;2004 2004;134771
4DC Fourth decil;159 Gladsaxe;2004 2004;154956
5DC Fifth decil;159 Gladsaxe;2004 2004;174864
6DC Sixth decil;159 Gladsaxe;2004 2004;194388
7DC Seventh decil;159 Gladsaxe;2004 2004;214720
8DC Eigth decil;159 Gladsaxe;2004 2004;237540
9DC Ninth decil;159 Gladsaxe;2004 2004;270137
10DC Tenth decil;159 Gladsaxe;2004 2004;383541
1DC First decil;161 Glostrup;2004 2004;84933
2DC Second decil;161 Glostrup;2004 2004;117779
3DC Third decil;161 Glostrup;2004 2004;135607
4DC Fourth decil;161 Glostrup;2004 2004;154524
5DC Fifth decil;161 Glostrup;2004 2004;172777
6DC Sixth decil;161 Glostrup;2004 2004;191156
7DC Seventh decil;161 Glostrup;2004 2004;210938
8DC Eigth decil;161 Glostrup;2004 2004;233281
9DC Ninth decil;161 Glostrup;2004 2004;263763
10DC Tenth decil;161 Glostrup;2004 2004;351934
1DC First decil;163 Herlev;2004 2004;78054
2DC Second decil;163 Herlev;2004 2004;114027
3DC Third decil;163 Herlev;2004 2004;131935
4DC Fourth decil;163 Herlev;2004 2004;150096
5DC Fifth decil;163 Herlev;2004 2004;168365
6DC Sixth decil;163 Herlev;2004 2004;186386
7DC Seventh decil;163 Herlev;2004 2004;205325
8DC Eigth decil;163 Herlev;2004 2004;227655
9DC Ninth decil;163 Herlev;2004 2004;259813
10DC Tenth decil;163 Herlev;2004 2004;348019
1DC First decil;165 Albertslund;2004 2004;69632
2DC Second decil;165 Albertslund;2004 2004;104782
3DC Third decil;165 Albertslund;2004 2004;122268
4DC Fourth decil;165 Albertslund;2004 2004;139433
5DC Fifth decil;165 Albertslund;2004 2004;157495
6DC Sixth decil;165 Albertslund;2004 2004;174962
7DC Seventh decil;165 Albertslund;2004 2004;193393
8DC Eigth decil;165 Albertslund;2004 2004;214835
9DC Ninth decil;165 Albertslund;2004 2004;245388
10DC Tenth decil;165 Albertslund;2004 2004;333058
1DC First decil;167 Hvidovre;2004 2004;76141
2DC Second decil;167 Hvidovre;2004 2004;112900
3DC Third decil;167 Hvidovre;2004 2004;131350
4DC Fourth decil;167 Hvidovre;2004 2004;150117
5DC Fifth decil;167 Hvidovre;2004 2004;168065
6DC Sixth decil;167 Hvidovre;2004 2004;184809
7DC Seventh decil;167 Hvidovre;2004 2004;202501
8DC Eigth decil;167 Hvidovre;2004 2004;223467
9DC Ninth decil;167 Hvidovre;2004 2004;250815
10DC Tenth decil;167 Hvidovre;2004 2004;330902
1DC First decil;169 Høje-Taastrup;2004 2004;76754
2DC Second decil;169 Høje-Taastrup;2004 2004;115461
3DC Third decil;169 Høje-Taastrup;2004 2004;135219
4DC Fourth decil;169 Høje-Taastrup;2004 2004;154110
5DC Fifth decil;169 Høje-Taastrup;2004 2004;173098
6DC Sixth decil;169 Høje-Taastrup;2004 2004;191312
7DC Seventh decil;169 Høje-Taastrup;2004 2004;209661
8DC Eigth decil;169 Høje-Taastrup;2004 2004;231993
9DC Ninth decil;169 Høje-Taastrup;2004 2004;263709
10DC Tenth decil;169 Høje-Taastrup;2004 2004;356474
1DC First decil;173 Lyngby-Taarbæk;2004 2004;65529
2DC Second decil;173 Lyngby-Taarbæk;2004 2004;121340
3DC Third decil;173 Lyngby-Taarbæk;2004 2004;149574
4DC Fourth decil;173 Lyngby-Taarbæk;2004 2004;177387
5DC Fifth decil;173 Lyngby-Taarbæk;2004 2004;203844
6DC Sixth decil;173 Lyngby-Taarbæk;2004 2004;229053
7DC Seventh decil;173 Lyngby-Taarbæk;2004 2004;255811
8DC Eigth decil;173 Lyngby-Taarbæk;2004 2004;286892
9DC Ninth decil;173 Lyngby-Taarbæk;2004 2004;332862
10DC Tenth decil;173 Lyngby-Taarbæk;2004 2004;539966
1DC First decil;175 Rødovre;2004 2004;79362
2DC Second decil;175 Rødovre;2004 2004;114596
3DC Third decil;175 Rødovre;2004 2004;131578
4DC Fourth decil;175 Rødovre;2004 2004;148900
5DC Fifth decil;175 Rødovre;2004 2004;166507
6DC Sixth decil;175 Rødovre;2004 2004;183589
7DC Seventh decil;175 Rødovre;2004 2004;201137
8DC Eigth decil;175 Rødovre;2004 2004;221453
9DC Ninth decil;175 Rødovre;2004 2004;250312
10DC Tenth decil;175 Rødovre;2004 2004;331087
1DC First decil;183 Ishøj;2004 2004;72111
2DC Second decil;183 Ishøj;2004 2004;106830
3DC Third decil;183 Ishøj;2004 2004;123887
4DC Fourth decil;183 Ishøj;2004 2004;138372
5DC Fifth decil;183 Ishøj;2004 2004;154569
6DC Sixth decil;183 Ishøj;2004 2004;172345
7DC Seventh decil;183 Ishøj;2004 2004;190435
8DC Eigth decil;183 Ishøj;2004 2004;212987
9DC Ninth decil;183 Ishøj;2004 2004;245112
10DC Tenth decil;183 Ishøj;2004 2004;325539
1DC First decil;185 Tårnby;2004 2004;86604
2DC Second decil;185 Tårnby;2004 2004;124121
3DC Third decil;185 Tårnby;2004 2004;146688
4DC Fourth decil;185 Tårnby;2004 2004;166873
5DC Fifth decil;185 Tårnby;2004 2004;184841
6DC Sixth decil;185 Tårnby;2004 2004;200752
7DC Seventh decil;185 Tårnby;2004 2004;217721
8DC Eigth decil;185 Tårnby;2004 2004;238100
9DC Ninth decil;185 Tårnby;2004 2004;266217
10DC Tenth decil;185 Tårnby;2004 2004;346596
1DC First decil;187 Vallensbæk;2004 2004;98438
2DC Second decil;187 Vallensbæk;2004 2004;146595
3DC Third decil;187 Vallensbæk;2004 2004;170397
4DC Fourth decil;187 Vallensbæk;2004 2004;189998
5DC Fifth decil;187 Vallensbæk;2004 2004;207103
6DC Sixth decil;187 Vallensbæk;2004 2004;224023
7DC Seventh decil;187 Vallensbæk;2004 2004;242048
8DC Eigth decil;187 Vallensbæk;2004 2004;266115
9DC Ninth decil;187 Vallensbæk;2004 2004;295810
10DC Tenth decil;187 Vallensbæk;2004 2004;390446
1DC First decil;190 Furesø;2004 2004;85492
2DC Second decil;190 Furesø;2004 2004;132821
3DC Third decil;190 Furesø;2004 2004;159861
4DC Fourth decil;190 Furesø;2004 2004;183976
5DC Fifth decil;190 Furesø;2004 2004;206687
6DC Sixth decil;190 Furesø;2004 2004;229102
7DC Seventh decil;190 Furesø;2004 2004;252495
8DC Eigth decil;190 Furesø;2004 2004;279941
9DC Ninth decil;190 Furesø;2004 2004;319219
10DC Tenth decil;190 Furesø;2004 2004;474536
1DC First decil;201 Allerød;2004 2004;102124
2DC Second decil;201 Allerød;2004 2004;148717
3DC Third decil;201 Allerød;2004 2004;175763
4DC Fourth decil;201 Allerød;2004 2004;196759
5DC Fifth decil;201 Allerød;2004 2004;215342
6DC Sixth decil;201 Allerød;2004 2004;234913
7DC Seventh decil;201 Allerød;2004 2004;255238
8DC Eigth decil;201 Allerød;2004 2004;279401
9DC Ninth decil;201 Allerød;2004 2004;316766
10DC Tenth decil;201 Allerød;2004 2004;483021
1DC First decil;210 Fredensborg;2004 2004;76588
2DC Second decil;210 Fredensborg;2004 2004;124692
3DC Third decil;210 Fredensborg;2004 2004;148711
4DC Fourth decil;210 Fredensborg;2004 2004;171667
5DC Fifth decil;210 Fredensborg;2004 2004;192224
6DC Sixth decil;210 Fredensborg;2004 2004;212745
7DC Seventh decil;210 Fredensborg;2004 2004;234960
8DC Eigth decil;210 Fredensborg;2004 2004;261288
9DC Ninth decil;210 Fredensborg;2004 2004;301099
10DC Tenth decil;210 Fredensborg;2004 2004;489101
1DC First decil;217 Helsingør;2004 2004;77155
2DC Second decil;217 Helsingør;2004 2004;118007
3DC Third decil;217 Helsingør;2004 2004;138141
4DC Fourth decil;217 Helsingør;2004 2004;157893
5DC Fifth decil;217 Helsingør;2004 2004;176758
6DC Sixth decil;217 Helsingør;2004 2004;195158
7DC Seventh decil;217 Helsingør;2004 2004;214520
8DC Eigth decil;217 Helsingør;2004 2004;238194
9DC Ninth decil;217 Helsingør;2004 2004;274390
10DC Tenth decil;217 Helsingør;2004 2004;412852
1DC First decil;219 Hillerød;2004 2004;80855
2DC Second decil;219 Hillerød;2004 2004;128484
3DC Third decil;219 Hillerød;2004 2004;152653
4DC Fourth decil;219 Hillerød;2004 2004;173802
5DC Fifth decil;219 Hillerød;2004 2004;191842
6DC Sixth decil;219 Hillerød;2004 2004;209519
7DC Seventh decil;219 Hillerød;2004 2004;228532
8DC Eigth decil;219 Hillerød;2004 2004;252295
9DC Ninth decil;219 Hillerød;2004 2004;285818
10DC Tenth decil;219 Hillerød;2004 2004;411593
1DC First decil;223 Hørsholm;2004 2004;88202
2DC Second decil;223 Hørsholm;2004 2004;143487
3DC Third decil;223 Hørsholm;2004 2004;175484
4DC Fourth decil;223 Hørsholm;2004 2004;203749
5DC Fifth decil;223 Hørsholm;2004 2004;232019
6DC Sixth decil;223 Hørsholm;2004 2004;262042
7DC Seventh decil;223 Hørsholm;2004 2004;294115
8DC Eigth decil;223 Hørsholm;2004 2004;332975
9DC Ninth decil;223 Hørsholm;2004 2004;391250
10DC Tenth decil;223 Hørsholm;2004 2004;734493
1DC First decil;230 Rudersdal;2004 2004;65423
2DC Second decil;230 Rudersdal;2004 2004;137657
3DC Third decil;230 Rudersdal;2004 2004;172137
4DC Fourth decil;230 Rudersdal;2004 2004;203465
5DC Fifth decil;230 Rudersdal;2004 2004;232540
6DC Sixth decil;230 Rudersdal;2004 2004;261116
7DC Seventh decil;230 Rudersdal;2004 2004;291668
8DC Eigth decil;230 Rudersdal;2004 2004;329035
9DC Ninth decil;230 Rudersdal;2004 2004;388779
10DC Tenth decil;230 Rudersdal;2004 2004;829795
1DC First decil;240 Egedal;2004 2004;99670
2DC Second decil;240 Egedal;2004 2004;149814
3DC Third decil;240 Egedal;2004 2004;172789
4DC Fourth decil;240 Egedal;2004 2004;190040
5DC Fifth decil;240 Egedal;2004 2004;204766
6DC Sixth decil;240 Egedal;2004 2004;219905
7DC Seventh decil;240 Egedal;2004 2004;236924
8DC Eigth decil;240 Egedal;2004 2004;258570
9DC Ninth decil;240 Egedal;2004 2004;289689
10DC Tenth decil;240 Egedal;2004 2004;398488
1DC First decil;250 Frederikssund;2004 2004;86571
2DC Second decil;250 Frederikssund;2004 2004;126999
3DC Third decil;250 Frederikssund;2004 2004;147677
4DC Fourth decil;250 Frederikssund;2004 2004;166160
5DC Fifth decil;250 Frederikssund;2004 2004;183219
6DC Sixth decil;250 Frederikssund;2004 2004;198896
7DC Seventh decil;250 Frederikssund;2004 2004;215682
8DC Eigth decil;250 Frederikssund;2004 2004;236245
9DC Ninth decil;250 Frederikssund;2004 2004;267052
10DC Tenth decil;250 Frederikssund;2004 2004;375548
1DC First decil;253 Greve;2004 2004;88764
2DC Second decil;253 Greve;2004 2004;132272
3DC Third decil;253 Greve;2004 2004;157308
4DC Fourth decil;253 Greve;2004 2004;179625
5DC Fifth decil;253 Greve;2004 2004;198841
6DC Sixth decil;253 Greve;2004 2004;217173
7DC Seventh decil;253 Greve;2004 2004;236236
8DC Eigth decil;253 Greve;2004 2004;258959
9DC Ninth decil;253 Greve;2004 2004;292526
10DC Tenth decil;253 Greve;2004 2004;405234
1DC First decil;259 Køge;2004 2004;84592
2DC Second decil;259 Køge;2004 2004;122116
3DC Third decil;259 Køge;2004 2004;142123
4DC Fourth decil;259 Køge;2004 2004;161701
5DC Fifth decil;259 Køge;2004 2004;179258
6DC Sixth decil;259 Køge;2004 2004;195580
7DC Seventh decil;259 Køge;2004 2004;213000
8DC Eigth decil;259 Køge;2004 2004;233765
9DC Ninth decil;259 Køge;2004 2004;263616
10DC Tenth decil;259 Køge;2004 2004;365035
1DC First decil;260 Halsnæs;2004 2004;80113
2DC Second decil;260 Halsnæs;2004 2004;120638
3DC Third decil;260 Halsnæs;2004 2004;137937
4DC Fourth decil;260 Halsnæs;2004 2004;153937
5DC Fifth decil;260 Halsnæs;2004 2004;169328
6DC Sixth decil;260 Halsnæs;2004 2004;183704
7DC Seventh decil;260 Halsnæs;2004 2004;199545
8DC Eigth decil;260 Halsnæs;2004 2004;218741
9DC Ninth decil;260 Halsnæs;2004 2004;246731
10DC Tenth decil;260 Halsnæs;2004 2004;327991
1DC First decil;265 Roskilde;2004 2004;79782
2DC Second decil;265 Roskilde;2004 2004;124075
3DC Third decil;265 Roskilde;2004 2004;147967
4DC Fourth decil;265 Roskilde;2004 2004;170171
