OMRÅDE;ALDER;KØN;TID;INDHOLD 
360 Lolland;TOT Age, total;TOT Total;2011M04 2011M04;10.5
370 Næstved;TOT Age, total;TOT Total;2011M04 2011M04;6.7
376 Guldborgsund;TOT Age, total;TOT Total;2011M04 2011M04;7.1
390 Vordingborg;TOT Age, total;TOT Total;2011M04 2011M04;6.5
400 Bornholm;TOT Age, total;TOT Total;2011M04 2011M04;7.5
410 Middelfart;TOT Age, total;TOT Total;2011M04 2011M04;4.8
420 Assens;TOT Age, total;TOT Total;2011M04 2011M04;7.0
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2011M04 2011M04;6.6
440 Kerteminde;TOT Age, total;TOT Total;2011M04 2011M04;7.6
450 Nyborg;TOT Age, total;TOT Total;2011M04 2011M04;7.1
461 Odense;TOT Age, total;TOT Total;2011M04 2011M04;7.3
479 Svendborg;TOT Age, total;TOT Total;2011M04 2011M04;6.7
480 Nordfyns;TOT Age, total;TOT Total;2011M04 2011M04;7.3
482 Langeland;TOT Age, total;TOT Total;2011M04 2011M04;8.4
492 Ærø;TOT Age, total;TOT Total;2011M04 2011M04;4.4
510 Haderslev;TOT Age, total;TOT Total;2011M04 2011M04;5.8
316 Holbæk;TOT Age, total;TOT Total;2012M11 2012M11;5.2
320 Faxe;TOT Age, total;TOT Total;2012M11 2012M11;6.4
326 Kalundborg;TOT Age, total;TOT Total;2012M11 2012M11;6.8
329 Ringsted;TOT Age, total;TOT Total;2012M11 2012M11;6.2
330 Slagelse;TOT Age, total;TOT Total;2012M11 2012M11;8.0
336 Stevns;TOT Age, total;TOT Total;2012M11 2012M11;6.1
340 Sorø;TOT Age, total;TOT Total;2012M11 2012M11;5.9
350 Lejre;TOT Age, total;TOT Total;2012M11 2012M11;3.8
360 Lolland;TOT Age, total;TOT Total;2012M11 2012M11;10.0
370 Næstved;TOT Age, total;TOT Total;2012M11 2012M11;6.4
376 Guldborgsund;TOT Age, total;TOT Total;2012M11 2012M11;6.9
390 Vordingborg;TOT Age, total;TOT Total;2012M11 2012M11;5.9
400 Bornholm;TOT Age, total;TOT Total;2012M11 2012M11;8.5
410 Middelfart;TOT Age, total;TOT Total;2012M11 2012M11;4.9
420 Assens;TOT Age, total;TOT Total;2012M11 2012M11;7.2
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2012M11 2012M11;6.5
440 Kerteminde;TOT Age, total;TOT Total;2012M11 2012M11;8.4
450 Nyborg;TOT Age, total;TOT Total;2012M11 2012M11;6.5
461 Odense;TOT Age, total;TOT Total;2012M11 2012M11;7.7
479 Svendborg;TOT Age, total;TOT Total;2012M11 2012M11;7.1
480 Nordfyns;TOT Age, total;TOT Total;2012M11 2012M11;6.8
482 Langeland;TOT Age, total;TOT Total;2012M11 2012M11;8.0
492 Ærø;TOT Age, total;TOT Total;2012M11 2012M11;5.8
461 Odense;TOT Age, total;TOT Total;2014M09 2014M09;6.2
479 Svendborg;TOT Age, total;TOT Total;2014M09 2014M09;5.1
480 Nordfyns;TOT Age, total;TOT Total;2014M09 2014M09;4.7
482 Langeland;TOT Age, total;TOT Total;2014M09 2014M09;5.0
492 Ærø;TOT Age, total;TOT Total;2014M09 2014M09;3.8
510 Haderslev;TOT Age, total;TOT Total;2014M09 2014M09;4.5
530 Billund;TOT Age, total;TOT Total;2014M09 2014M09;3.1
540 Sønderborg;TOT Age, total;TOT Total;2014M09 2014M09;4.5
550 Tønder;TOT Age, total;TOT Total;2014M09 2014M09;4.2
561 Esbjerg;TOT Age, total;TOT Total;2014M09 2014M09;4.1
563 Fanø;TOT Age, total;TOT Total;2014M09 2014M09;3.4
573 Varde;TOT Age, total;TOT Total;2014M09 2014M09;2.6
575 Vejen;TOT Age, total;TOT Total;2014M09 2014M09;3.6
580 Aabenraa;TOT Age, total;TOT Total;2014M09 2014M09;4.9
607 Fredericia;TOT Age, total;TOT Total;2014M09 2014M09;5.0
615 Horsens;TOT Age, total;TOT Total;2014M09 2014M09;4.1
621 Kolding;TOT Age, total;TOT Total;2014M09 2014M09;4.2
630 Vejle;TOT Age, total;TOT Total;2014M09 2014M09;3.8
657 Herning;TOT Age, total;TOT Total;2014M09 2014M09;3.8
661 Holstebro;TOT Age, total;TOT Total;2014M09 2014M09;3.2
665 Lemvig;TOT Age, total;TOT Total;2014M09 2014M09;2.7
671 Struer;TOT Age, total;TOT Total;2014M09 2014M09;4.2
000 All Denmark;TOT Age, total;TOT Total;2016M05 2016M05;4.0
621 Kolding;TOT Age, total;TOT Total;2019M02 2019M02;3.6
630 Vejle;TOT Age, total;TOT Total;2019M02 2019M02;3.3
657 Herning;TOT Age, total;TOT Total;2019M02 2019M02;3.7
661 Holstebro;TOT Age, total;TOT Total;2019M02 2019M02;3.0
665 Lemvig;TOT Age, total;TOT Total;2019M02 2019M02;3.4
671 Struer;TOT Age, total;TOT Total;2019M02 2019M02;4.3
706 Syddjurs;TOT Age, total;TOT Total;2019M02 2019M02;3.6
707 Norddjurs;TOT Age, total;TOT Total;2019M02 2019M02;5.1
710 Favrskov;TOT Age, total;TOT Total;2019M02 2019M02;2.8
101 Copenhagen;TOT Age, total;TOT Total;2020M09 2020M09;5.9
147 Frederiksberg;TOT Age, total;TOT Total;2020M09 2020M09;5.0
151 Ballerup;TOT Age, total;TOT Total;2020M09 2020M09;4.3
153 Brøndby;TOT Age, total;TOT Total;2020M09 2020M09;7.5
155 Dragør;TOT Age, total;TOT Total;2020M09 2020M09;3.8
157 Gentofte;TOT Age, total;TOT Total;2020M09 2020M09;3.9
159 Gladsaxe;TOT Age, total;TOT Total;2020M09 2020M09;4.2
161 Glostrup;TOT Age, total;TOT Total;2020M09 2020M09;5.1
163 Herlev;TOT Age, total;TOT Total;2020M09 2020M09;3.9
000 All Denmark;TOT Age, total;TOT Total;2024M04 2024M04;2.9
101 Copenhagen;TOT Age, total;TOT Total;2024M04 2024M04;3.5
147 Frederiksberg;TOT Age, total;TOT Total;2024M04 2024M04;3.1
151 Ballerup;TOT Age, total;TOT Total;2024M04 2024M04;2.3
153 Brøndby;TOT Age, total;TOT Total;2024M04 2024M04;3.6
155 Dragør;TOT Age, total;TOT Total;2024M04 2024M04;1.7
157 Gentofte;TOT Age, total;TOT Total;2024M04 2024M04;2.3
159 Gladsaxe;TOT Age, total;TOT Total;2024M04 2024M04;2.6
161 Glostrup;TOT Age, total;TOT Total;2024M04 2024M04;2.9
163 Herlev;TOT Age, total;TOT Total;2024M04 2024M04;2.5
165 Albertslund;TOT Age, total;TOT Total;2024M04 2024M04;3.3
167 Hvidovre;TOT Age, total;TOT Total;2024M04 2024M04;2.8
169 Høje-Taastrup;TOT Age, total;TOT Total;2024M04 2024M04;3.6
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2024M04 2024M04;2.1
175 Rødovre;TOT Age, total;TOT Total;2024M04 2024M04;3.2
183 Ishøj;TOT Age, total;TOT Total;2024M04 2024M04;4.6
185 Tårnby;TOT Age, total;TOT Total;2024M04 2024M04;2.2
187 Vallensbæk;TOT Age, total;TOT Total;2024M04 2024M04;2.8
190 Furesø;TOT Age, total;TOT Total;2024M04 2024M04;2.2
727 Odder;TOT Age, total;TOT Total;2019M02 2019M02;3.2
730 Randers;TOT Age, total;TOT Total;2019M02 2019M02;4.2
740 Silkeborg;TOT Age, total;TOT Total;2019M02 2019M02;3.4
741 Samsø;TOT Age, total;TOT Total;2019M02 2019M02;7.2
746 Skanderborg;TOT Age, total;TOT Total;2019M02 2019M02;2.4
751 Aarhus;TOT Age, total;TOT Total;2019M02 2019M02;4.6
756 Ikast-Brande;TOT Age, total;TOT Total;2019M02 2019M02;3.7
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2019M02 2019M02;2.9
766 Hedensted;TOT Age, total;TOT Total;2019M02 2019M02;2.8
773 Morsø;TOT Age, total;TOT Total;2019M02 2019M02;4.0
779 Skive;TOT Age, total;TOT Total;2019M02 2019M02;3.0
787 Thisted;TOT Age, total;TOT Total;2019M02 2019M02;3.9
791 Viborg;TOT Age, total;TOT Total;2019M02 2019M02;3.4
810 Brønderslev;TOT Age, total;TOT Total;2019M02 2019M02;4.4
813 Frederikshavn;TOT Age, total;TOT Total;2019M02 2019M02;5.2
820 Vesthimmerlands;TOT Age, total;TOT Total;2019M02 2019M02;4.5
825 Læsø;TOT Age, total;TOT Total;2019M02 2019M02;9.6
840 Rebild;TOT Age, total;TOT Total;2019M02 2019M02;3.4
846 Mariagerfjord;TOT Age, total;TOT Total;2019M02 2019M02;4.5
849 Jammerbugt;TOT Age, total;TOT Total;2019M02 2019M02;3.9
851 Aalborg;TOT Age, total;TOT Total;2019M02 2019M02;5.2
860 Hjørring;TOT Age, total;TOT Total;2019M02 2019M02;4.6
450 Nyborg;TOT Age, total;TOT Total;2018M04 2018M04;3.8
461 Odense;TOT Age, total;TOT Total;2018M04 2018M04;4.8
479 Svendborg;TOT Age, total;TOT Total;2018M04 2018M04;4.3
480 Nordfyns;TOT Age, total;TOT Total;2018M04 2018M04;4.1
482 Langeland;TOT Age, total;TOT Total;2018M04 2018M04;4.9
492 Ærø;TOT Age, total;TOT Total;2018M04 2018M04;4.2
510 Haderslev;TOT Age, total;TOT Total;2018M04 2018M04;3.5
530 Billund;TOT Age, total;TOT Total;2018M04 2018M04;2.7
540 Sønderborg;TOT Age, total;TOT Total;2018M04 2018M04;3.4
550 Tønder;TOT Age, total;TOT Total;2018M04 2018M04;3.2
561 Esbjerg;TOT Age, total;TOT Total;2018M04 2018M04;3.7
563 Fanø;TOT Age, total;TOT Total;2018M04 2018M04;5.1
573 Varde;TOT Age, total;TOT Total;2018M04 2018M04;2.7
575 Vejen;TOT Age, total;TOT Total;2018M04 2018M04;2.7
580 Aabenraa;TOT Age, total;TOT Total;2018M04 2018M04;3.6
607 Fredericia;TOT Age, total;TOT Total;2018M04 2018M04;4.3
550 Tønder;TOT Age, total;TOT Total;2022M06 2022M06;1.7
561 Esbjerg;TOT Age, total;TOT Total;2022M06 2022M06;2.2
563 Fanø;TOT Age, total;TOT Total;2022M06 2022M06;2.6
573 Varde;TOT Age, total;TOT Total;2022M06 2022M06;1.6
575 Vejen;TOT Age, total;TOT Total;2022M06 2022M06;1.3
580 Aabenraa;TOT Age, total;TOT Total;2022M06 2022M06;2.1
607 Fredericia;TOT Age, total;TOT Total;2022M06 2022M06;2.5
615 Horsens;TOT Age, total;TOT Total;2022M06 2022M06;2.1
621 Kolding;TOT Age, total;TOT Total;2022M06 2022M06;2.2
630 Vejle;TOT Age, total;TOT Total;2022M06 2022M06;1.9
657 Herning;TOT Age, total;TOT Total;2022M06 2022M06;1.8
661 Holstebro;TOT Age, total;TOT Total;2022M06 2022M06;1.6
665 Lemvig;TOT Age, total;TOT Total;2022M06 2022M06;2.3
671 Struer;TOT Age, total;TOT Total;2022M06 2022M06;2.3
706 Syddjurs;TOT Age, total;TOT Total;2022M06 2022M06;2.0
707 Norddjurs;TOT Age, total;TOT Total;2022M06 2022M06;2.5
710 Favrskov;TOT Age, total;TOT Total;2022M06 2022M06;1.6
727 Odder;TOT Age, total;TOT Total;2022M06 2022M06;1.9
730 Randers;TOT Age, total;TOT Total;2022M06 2022M06;2.4
740 Silkeborg;TOT Age, total;TOT Total;2022M06 2022M06;1.8
741 Samsø;TOT Age, total;TOT Total;2022M06 2022M06;2.0
746 Skanderborg;TOT Age, total;TOT Total;2022M06 2022M06;1.7
751 Aarhus;TOT Age, total;TOT Total;2022M06 2022M06;3.0
706 Syddjurs;TOT Age, total;TOT Total;2008M10 2008M10;2.3
707 Norddjurs;TOT Age, total;TOT Total;2008M10 2008M10;2.7
710 Favrskov;TOT Age, total;TOT Total;2008M10 2008M10;1.6
727 Odder;TOT Age, total;TOT Total;2008M10 2008M10;1.8
730 Randers;TOT Age, total;TOT Total;2008M10 2008M10;2.1
740 Silkeborg;TOT Age, total;TOT Total;2008M10 2008M10;1.7
741 Samsø;TOT Age, total;TOT Total;2008M10 2008M10;3.4
746 Skanderborg;TOT Age, total;TOT Total;2008M10 2008M10;1.4
751 Aarhus;TOT Age, total;TOT Total;2008M10 2008M10;2.5
756 Ikast-Brande;TOT Age, total;TOT Total;2008M10 2008M10;2.2
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2008M10 2008M10;1.4
766 Hedensted;TOT Age, total;TOT Total;2008M10 2008M10;1.1
773 Morsø;TOT Age, total;TOT Total;2008M10 2008M10;2.8
779 Skive;TOT Age, total;TOT Total;2008M10 2008M10;2.1
787 Thisted;TOT Age, total;TOT Total;2008M10 2008M10;1.8
791 Viborg;TOT Age, total;TOT Total;2008M10 2008M10;1.5
810 Brønderslev;TOT Age, total;TOT Total;2008M10 2008M10;3.1
813 Frederikshavn;TOT Age, total;TOT Total;2008M10 2008M10;3.5
820 Vesthimmerlands;TOT Age, total;TOT Total;2008M10 2008M10;2.3
825 Læsø;TOT Age, total;TOT Total;2008M10 2008M10;5.0
840 Rebild;TOT Age, total;TOT Total;2008M10 2008M10;1.7
846 Mariagerfjord;TOT Age, total;TOT Total;2008M10 2008M10;2.3
615 Horsens;TOT Age, total;TOT Total;2018M04 2018M04;3.4
621 Kolding;TOT Age, total;TOT Total;2018M04 2018M04;3.3
630 Vejle;TOT Age, total;TOT Total;2018M04 2018M04;3.0
657 Herning;TOT Age, total;TOT Total;2018M04 2018M04;3.5
661 Holstebro;TOT Age, total;TOT Total;2018M04 2018M04;2.5
665 Lemvig;TOT Age, total;TOT Total;2018M04 2018M04;2.6
671 Struer;TOT Age, total;TOT Total;2018M04 2018M04;3.6
706 Syddjurs;TOT Age, total;TOT Total;2018M04 2018M04;3.3
707 Norddjurs;TOT Age, total;TOT Total;2018M04 2018M04;4.4
710 Favrskov;TOT Age, total;TOT Total;2018M04 2018M04;2.4
727 Odder;TOT Age, total;TOT Total;2018M04 2018M04;3.1
730 Randers;TOT Age, total;TOT Total;2018M04 2018M04;3.9
740 Silkeborg;TOT Age, total;TOT Total;2018M04 2018M04;3.0
741 Samsø;TOT Age, total;TOT Total;2018M04 2018M04;6.3
746 Skanderborg;TOT Age, total;TOT Total;2018M04 2018M04;2.1
751 Aarhus;TOT Age, total;TOT Total;2018M04 2018M04;4.2
756 Ikast-Brande;TOT Age, total;TOT Total;2018M04 2018M04;3.9
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2018M04 2018M04;2.5
766 Hedensted;TOT Age, total;TOT Total;2018M04 2018M04;2.3
773 Morsø;TOT Age, total;TOT Total;2018M04 2018M04;3.2
779 Skive;TOT Age, total;TOT Total;2018M04 2018M04;2.9
787 Thisted;TOT Age, total;TOT Total;2018M04 2018M04;3.2
791 Viborg;TOT Age, total;TOT Total;2018M04 2018M04;2.9
756 Ikast-Brande;TOT Age, total;TOT Total;2022M06 2022M06;1.7
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2022M06 2022M06;1.4
766 Hedensted;TOT Age, total;TOT Total;2022M06 2022M06;1.2
773 Morsø;TOT Age, total;TOT Total;2022M06 2022M06;2.0
710 Favrskov;TOT Age, total;TOT Total;2023M08 2023M08;2.1
727 Odder;TOT Age, total;TOT Total;2023M08 2023M08;2.6
730 Randers;TOT Age, total;TOT Total;2023M08 2023M08;3.0
740 Silkeborg;TOT Age, total;TOT Total;2023M08 2023M08;2.3
741 Samsø;TOT Age, total;TOT Total;2023M08 2023M08;2.1
746 Skanderborg;TOT Age, total;TOT Total;2023M08 2023M08;2.0
751 Aarhus;TOT Age, total;TOT Total;2023M08 2023M08;4.1
756 Ikast-Brande;TOT Age, total;TOT Total;2023M08 2023M08;2.1
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2023M08 2023M08;1.6
766 Hedensted;TOT Age, total;TOT Total;2023M08 2023M08;1.8
773 Morsø;TOT Age, total;TOT Total;2023M08 2023M08;2.3
779 Skive;TOT Age, total;TOT Total;2023M08 2023M08;1.9
787 Thisted;TOT Age, total;TOT Total;2023M08 2023M08;1.8
791 Viborg;TOT Age, total;TOT Total;2023M08 2023M08;2.5
810 Brønderslev;TOT Age, total;TOT Total;2023M08 2023M08;2.7
813 Frederikshavn;TOT Age, total;TOT Total;2023M08 2023M08;3.5
820 Vesthimmerlands;TOT Age, total;TOT Total;2023M08 2023M08;2.6
849 Jammerbugt;TOT Age, total;TOT Total;2011M10 2011M10;5.4
851 Aalborg;TOT Age, total;TOT Total;2011M10 2011M10;6.1
860 Hjørring;TOT Age, total;TOT Total;2011M10 2011M10;6.5
000 All Denmark;TOT Age, total;TOT Total;2013M06 2013M06;5.6
101 Copenhagen;TOT Age, total;TOT Total;2013M06 2013M06;7.5
479 Svendborg;TOT Age, total;TOT Total;2019M03 2019M03;4.3
480 Nordfyns;TOT Age, total;TOT Total;2019M03 2019M03;4.4
482 Langeland;TOT Age, total;TOT Total;2019M03 2019M03;5.0
492 Ærø;TOT Age, total;TOT Total;2019M03 2019M03;4.4
510 Haderslev;TOT Age, total;TOT Total;2019M03 2019M03;3.7
530 Billund;TOT Age, total;TOT Total;2019M03 2019M03;2.7
540 Sønderborg;TOT Age, total;TOT Total;2019M03 2019M03;3.6
550 Tønder;TOT Age, total;TOT Total;2019M03 2019M03;3.6
561 Esbjerg;TOT Age, total;TOT Total;2019M03 2019M03;3.6
563 Fanø;TOT Age, total;TOT Total;2019M03 2019M03;4.0
573 Varde;TOT Age, total;TOT Total;2019M03 2019M03;2.7
575 Vejen;TOT Age, total;TOT Total;2019M03 2019M03;2.7
580 Aabenraa;TOT Age, total;TOT Total;2019M03 2019M03;3.6
607 Fredericia;TOT Age, total;TOT Total;2019M03 2019M03;4.4
615 Horsens;TOT Age, total;TOT Total;2019M03 2019M03;3.5
621 Kolding;TOT Age, total;TOT Total;2019M03 2019M03;3.6
630 Vejle;TOT Age, total;TOT Total;2019M03 2019M03;3.2
657 Herning;TOT Age, total;TOT Total;2019M03 2019M03;3.4
661 Holstebro;TOT Age, total;TOT Total;2019M03 2019M03;2.9
665 Lemvig;TOT Age, total;TOT Total;2019M03 2019M03;3.2
671 Struer;TOT Age, total;TOT Total;2019M03 2019M03;4.3
706 Syddjurs;TOT Age, total;TOT Total;2019M03 2019M03;3.4
707 Norddjurs;TOT Age, total;TOT Total;2019M03 2019M03;4.8
000 All Denmark;TOT Age, total;TOT Total;2020M01 2020M01;4.0
000 All Denmark;TOT Age, total;TOT Total;2020M04 2020M04;5.0
101 Copenhagen;TOT Age, total;TOT Total;2016M05 2016M05;4.9
147 Frederiksberg;TOT Age, total;TOT Total;2016M05 2016M05;4.5
151 Ballerup;TOT Age, total;TOT Total;2016M05 2016M05;4.1
153 Brøndby;TOT Age, total;TOT Total;2016M05 2016M05;5.6
155 Dragør;TOT Age, total;TOT Total;2016M05 2016M05;2.5
157 Gentofte;TOT Age, total;TOT Total;2016M05 2016M05;2.7
159 Gladsaxe;TOT Age, total;TOT Total;2016M05 2016M05;4.0
161 Glostrup;TOT Age, total;TOT Total;2016M05 2016M05;5.1
163 Herlev;TOT Age, total;TOT Total;2016M05 2016M05;3.9
165 Albertslund;TOT Age, total;TOT Total;2016M05 2016M05;6.6
167 Hvidovre;TOT Age, total;TOT Total;2016M05 2016M05;3.9
169 Høje-Taastrup;TOT Age, total;TOT Total;2016M05 2016M05;6.0
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2016M05 2016M05;2.7
175 Rødovre;TOT Age, total;TOT Total;2016M05 2016M05;4.5
183 Ishøj;TOT Age, total;TOT Total;2016M05 2016M05;8.2
185 Tårnby;TOT Age, total;TOT Total;2016M05 2016M05;3.7
187 Vallensbæk;TOT Age, total;TOT Total;2016M05 2016M05;4.1
190 Furesø;TOT Age, total;TOT Total;2016M05 2016M05;3.0
201 Allerød;TOT Age, total;TOT Total;2016M05 2016M05;2.0
210 Fredensborg;TOT Age, total;TOT Total;2016M05 2016M05;3.2
217 Helsingør;TOT Age, total;TOT Total;2016M05 2016M05;3.8
219 Hillerød;TOT Age, total;TOT Total;2016M05 2016M05;2.9
223 Hørsholm;TOT Age, total;TOT Total;2016M05 2016M05;2.4
230 Rudersdal;TOT Age, total;TOT Total;2016M05 2016M05;2.4
240 Egedal;TOT Age, total;TOT Total;2016M05 2016M05;2.7
250 Frederikssund;TOT Age, total;TOT Total;2016M05 2016M05;3.2
253 Greve;TOT Age, total;TOT Total;2016M05 2016M05;3.4
259 Køge;TOT Age, total;TOT Total;2016M05 2016M05;3.5
260 Halsnæs;TOT Age, total;TOT Total;2016M05 2016M05;4.1
265 Roskilde;TOT Age, total;TOT Total;2016M05 2016M05;3.8
269 Solrød;TOT Age, total;TOT Total;2016M05 2016M05;2.6
270 Gribskov;TOT Age, total;TOT Total;2016M05 2016M05;3.3
306 Odsherred;TOT Age, total;TOT Total;2016M05 2016M05;4.5
316 Holbæk;TOT Age, total;TOT Total;2016M05 2016M05;3.6
320 Faxe;TOT Age, total;TOT Total;2016M05 2016M05;3.9
326 Kalundborg;TOT Age, total;TOT Total;2016M05 2016M05;3.6
329 Ringsted;TOT Age, total;TOT Total;2016M05 2016M05;4.0
330 Slagelse;TOT Age, total;TOT Total;2016M05 2016M05;4.8
336 Stevns;TOT Age, total;TOT Total;2016M05 2016M05;3.2
340 Sorø;TOT Age, total;TOT Total;2016M05 2016M05;3.7
350 Lejre;TOT Age, total;TOT Total;2016M05 2016M05;3.3
360 Lolland;TOT Age, total;TOT Total;2016M05 2016M05;5.3
370 Næstved;TOT Age, total;TOT Total;2016M05 2016M05;4.7
376 Guldborgsund;TOT Age, total;TOT Total;2016M05 2016M05;4.5
390 Vordingborg;TOT Age, total;TOT Total;2016M05 2016M05;4.3
400 Bornholm;TOT Age, total;TOT Total;2016M05 2016M05;3.8
410 Middelfart;TOT Age, total;TOT Total;2016M05 2016M05;3.0
420 Assens;TOT Age, total;TOT Total;2016M05 2016M05;5.0
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2016M05 2016M05;4.3
440 Kerteminde;TOT Age, total;TOT Total;2016M05 2016M05;4.5
450 Nyborg;TOT Age, total;TOT Total;2016M05 2016M05;3.8
461 Odense;TOT Age, total;TOT Total;2016M05 2016M05;5.7
479 Svendborg;TOT Age, total;TOT Total;2016M05 2016M05;4.4
480 Nordfyns;TOT Age, total;TOT Total;2016M05 2016M05;4.2
482 Langeland;TOT Age, total;TOT Total;2016M05 2016M05;4.5
492 Ærø;TOT Age, total;TOT Total;2016M05 2016M05;3.7
510 Haderslev;TOT Age, total;TOT Total;2016M05 2016M05;3.5
530 Billund;TOT Age, total;TOT Total;2016M05 2016M05;2.2
540 Sønderborg;TOT Age, total;TOT Total;2016M05 2016M05;3.9
550 Tønder;TOT Age, total;TOT Total;2016M05 2016M05;3.2
561 Esbjerg;TOT Age, total;TOT Total;2016M05 2016M05;3.8
563 Fanø;TOT Age, total;TOT Total;2016M05 2016M05;3.0
573 Varde;TOT Age, total;TOT Total;2016M05 2016M05;2.4
575 Vejen;TOT Age, total;TOT Total;2016M05 2016M05;3.1
580 Aabenraa;TOT Age, total;TOT Total;2016M05 2016M05;3.9
607 Fredericia;TOT Age, total;TOT Total;2016M05 2016M05;4.7
615 Horsens;TOT Age, total;TOT Total;2016M05 2016M05;4.0
621 Kolding;TOT Age, total;TOT Total;2016M05 2016M05;3.6
630 Vejle;TOT Age, total;TOT Total;2016M05 2016M05;3.3
657 Herning;TOT Age, total;TOT Total;2016M05 2016M05;3.3
000 All Denmark;TOT Age, total;TOT Total;2021M02 2021M02;4.9
165 Albertslund;TOT Age, total;TOT Total;2020M09 2020M09;6.0
167 Hvidovre;TOT Age, total;TOT Total;2020M09 2020M09;4.5
169 Høje-Taastrup;TOT Age, total;TOT Total;2020M09 2020M09;6.0
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2020M09 2020M09;3.6
175 Rødovre;TOT Age, total;TOT Total;2020M09 2020M09;6.0
183 Ishøj;TOT Age, total;TOT Total;2020M09 2020M09;7.3
185 Tårnby;TOT Age, total;TOT Total;2020M09 2020M09;4.4
187 Vallensbæk;TOT Age, total;TOT Total;2020M09 2020M09;4.4
190 Furesø;TOT Age, total;TOT Total;2020M09 2020M09;3.7
201 Allerød;TOT Age, total;TOT Total;2020M09 2020M09;2.9
210 Fredensborg;TOT Age, total;TOT Total;2020M09 2020M09;3.7
217 Helsingør;TOT Age, total;TOT Total;2020M09 2020M09;4.4
219 Hillerød;TOT Age, total;TOT Total;2020M09 2020M09;3.2
223 Hørsholm;TOT Age, total;TOT Total;2020M09 2020M09;3.8
230 Rudersdal;TOT Age, total;TOT Total;2020M09 2020M09;3.3
240 Egedal;TOT Age, total;TOT Total;2020M09 2020M09;3.2
250 Frederikssund;TOT Age, total;TOT Total;2020M09 2020M09;3.4
253 Greve;TOT Age, total;TOT Total;2020M09 2020M09;3.7
259 Køge;TOT Age, total;TOT Total;2020M09 2020M09;3.7
260 Halsnæs;TOT Age, total;TOT Total;2020M09 2020M09;3.8
265 Roskilde;TOT Age, total;TOT Total;2020M09 2020M09;3.8
269 Solrød;TOT Age, total;TOT Total;2020M09 2020M09;3.3
201 Allerød;TOT Age, total;TOT Total;2024M04 2024M04;1.5
210 Fredensborg;TOT Age, total;TOT Total;2024M04 2024M04;2.1
217 Helsingør;TOT Age, total;TOT Total;2024M04 2024M04;2.6
219 Hillerød;TOT Age, total;TOT Total;2024M04 2024M04;2.1
223 Hørsholm;TOT Age, total;TOT Total;2024M04 2024M04;2.3
230 Rudersdal;TOT Age, total;TOT Total;2024M04 2024M04;2.0
240 Egedal;TOT Age, total;TOT Total;2024M04 2024M04;1.8
250 Frederikssund;TOT Age, total;TOT Total;2024M04 2024M04;2.1
253 Greve;TOT Age, total;TOT Total;2024M04 2024M04;2.2
259 Køge;TOT Age, total;TOT Total;2024M04 2024M04;2.3
260 Halsnæs;TOT Age, total;TOT Total;2024M04 2024M04;2.3
265 Roskilde;TOT Age, total;TOT Total;2024M04 2024M04;2.2
269 Solrød;TOT Age, total;TOT Total;2024M04 2024M04;1.8
270 Gribskov;TOT Age, total;TOT Total;2024M04 2024M04;2.0
306 Odsherred;TOT Age, total;TOT Total;2024M04 2024M04;2.5
316 Holbæk;TOT Age, total;TOT Total;2024M04 2024M04;2.1
320 Faxe;TOT Age, total;TOT Total;2024M04 2024M04;2.7
326 Kalundborg;TOT Age, total;TOT Total;2024M04 2024M04;2.3
329 Ringsted;TOT Age, total;TOT Total;2024M04 2024M04;2.7
330 Slagelse;TOT Age, total;TOT Total;2024M04 2024M04;3.2
336 Stevns;TOT Age, total;TOT Total;2024M04 2024M04;2.5
340 Sorø;TOT Age, total;TOT Total;2024M04 2024M04;2.2
350 Lejre;TOT Age, total;TOT Total;2024M04 2024M04;2.1
360 Lolland;TOT Age, total;TOT Total;2024M04 2024M04;3.7
370 Næstved;TOT Age, total;TOT Total;2024M04 2024M04;3.0
376 Guldborgsund;TOT Age, total;TOT Total;2024M04 2024M04;3.3
390 Vordingborg;TOT Age, total;TOT Total;2024M04 2024M04;2.9
400 Bornholm;TOT Age, total;TOT Total;2024M04 2024M04;2.5
410 Middelfart;TOT Age, total;TOT Total;2024M04 2024M04;2.6
420 Assens;TOT Age, total;TOT Total;2024M04 2024M04;3.0
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2024M04 2024M04;2.6
440 Kerteminde;TOT Age, total;TOT Total;2024M04 2024M04;3.3
450 Nyborg;TOT Age, total;TOT Total;2024M04 2024M04;3.4
461 Odense;TOT Age, total;TOT Total;2024M04 2024M04;3.8
479 Svendborg;TOT Age, total;TOT Total;2024M04 2024M04;3.3
480 Nordfyns;TOT Age, total;TOT Total;2024M04 2024M04;3.0
482 Langeland;TOT Age, total;TOT Total;2024M04 2024M04;3.8
492 Ærø;TOT Age, total;TOT Total;2024M04 2024M04;2.1
