OMRÅDE;ALDER;KØN;TID;INDHOLD
740 Silkeborg;TOT Age, total;TOT Total;2013M02 2013M02;5.9
741 Samsø;TOT Age, total;TOT Total;2013M02 2013M02;8.5
746 Skanderborg;TOT Age, total;TOT Total;2013M02 2013M02;3.9
751 Aarhus;TOT Age, total;TOT Total;2013M02 2013M02;6.0
756 Ikast-Brande;TOT Age, total;TOT Total;2013M02 2013M02;6.7
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2013M02 2013M02;5.9
766 Hedensted;TOT Age, total;TOT Total;2013M02 2013M02;4.7
773 Morsø;TOT Age, total;TOT Total;2013M02 2013M02;7.4
779 Skive;TOT Age, total;TOT Total;2013M02 2013M02;6.0
787 Thisted;TOT Age, total;TOT Total;2013M02 2013M02;5.5
791 Viborg;TOT Age, total;TOT Total;2013M02 2013M02;5.6
810 Brønderslev;TOT Age, total;TOT Total;2013M02 2013M02;6.7
813 Frederikshavn;TOT Age, total;TOT Total;2013M02 2013M02;7.3
820 Vesthimmerlands;TOT Age, total;TOT Total;2013M02 2013M02;7.3
825 Læsø;TOT Age, total;TOT Total;2013M02 2013M02;13.2
840 Rebild;TOT Age, total;TOT Total;2013M02 2013M02;5.1
846 Mariagerfjord;TOT Age, total;TOT Total;2013M02 2013M02;6.7
849 Jammerbugt;TOT Age, total;TOT Total;2013M02 2013M02;7.5
851 Aalborg;TOT Age, total;TOT Total;2013M02 2013M02;6.7
671 Struer;TOT Age, total;TOT Total;2023M05 2023M05;3.0
706 Syddjurs;TOT Age, total;TOT Total;2023M05 2023M05;2.5
707 Norddjurs;TOT Age, total;TOT Total;2023M05 2023M05;2.8
710 Favrskov;TOT Age, total;TOT Total;2023M05 2023M05;1.8
727 Odder;TOT Age, total;TOT Total;2023M05 2023M05;2.2
730 Randers;TOT Age, total;TOT Total;2023M05 2023M05;3.0
740 Silkeborg;TOT Age, total;TOT Total;2023M05 2023M05;2.1
741 Samsø;TOT Age, total;TOT Total;2023M05 2023M05;2.6
746 Skanderborg;TOT Age, total;TOT Total;2023M05 2023M05;1.9
751 Aarhus;TOT Age, total;TOT Total;2023M05 2023M05;3.2
756 Ikast-Brande;TOT Age, total;TOT Total;2023M05 2023M05;2.2
