KOMMUNEDK;INDKN;TID;INDHOLD 
173 Lyngby-Taarbæk;50 50 per cent of median income;2008 2008;6.3
183 Ishøj;50 50 per cent of median income;2008 2008;6.8
187 Vallensbæk;50 50 per cent of median income;2008 2008;4.5
201 Allerød;50 50 per cent of median income;2008 2008;3.2
217 Helsingør;50 50 per cent of median income;2008 2008;5.9
223 Hørsholm;50 50 per cent of median income;2008 2008;5.1
240 Egedal;50 50 per cent of median income;2008 2008;2.7
253 Greve;50 50 per cent of median income;2008 2008;4.0
260 Halsnæs;50 50 per cent of median income;2008 2008;4.1
269 Solrød;50 50 per cent of median income;2008 2008;3.4
306 Odsherred;50 50 per cent of median income;2008 2008;5.9
320 Faxe;50 50 per cent of median income;2008 2008;5.3
329 Ringsted;50 50 per cent of median income;2008 2008;4.9
336 Stevns;50 50 per cent of median income;2008 2008;4.7
350 Lejre;50 50 per cent of median income;2008 2008;3.8
370 Næstved;50 50 per cent of median income;2008 2008;5.7
390 Vordingborg;50 50 per cent of median income;2008 2008;6.9
410 Middelfart;50 50 per cent of median income;2008 2008;4.1
430 Faaborg-Midtfyn;50 50 per cent of median income;2008 2008;5.1
450 Nyborg;50 50 per cent of median income;2008 2008;4.5
479 Svendborg;50 50 per cent of median income;2008 2008;6.4
482 Langeland;50 50 per cent of median income;2008 2008;6.1
510 Haderslev;50 50 per cent of median income;2008 2008;5.7
540 Sønderborg;50 50 per cent of median income;2008 2008;5.1
561 Esbjerg;50 50 per cent of median income;2008 2008;5.5
573 Varde;50 50 per cent of median income;2008 2008;5.2
580 Aabenraa;50 50 per cent of median income;2008 2008;5.8
615 Horsens;50 50 per cent of median income;2008 2008;5.9
630 Vejle;50 50 per cent of median income;2008 2008;4.9
661 Holstebro;50 50 per cent of median income;2008 2008;6.0
671 Struer;50 50 per cent of median income;2008 2008;5.0
707 Norddjurs;50 50 per cent of median income;2008 2008;6.7
727 Odder;50 50 per cent of median income;2008 2008;4.2
740 Silkeborg;50 50 per cent of median income;2008 2008;5.1
746 Skanderborg;50 50 per cent of median income;2008 2008;3.3
756 Ikast-Brande;50 50 per cent of median income;2008 2008;5.3
766 Hedensted;50 50 per cent of median income;2008 2008;4.2
779 Skive;50 50 per cent of median income;2008 2008;5.2
791 Viborg;50 50 per cent of median income;2008 2008;5.3
813 Frederikshavn;50 50 per cent of median income;2008 2008;5.2
825 Læsø;50 50 per cent of median income;2008 2008;6.5
846 Mariagerfjord;50 50 per cent of median income;2008 2008;5.9
851 Aalborg;50 50 per cent of median income;2008 2008;8.3
000 All Denmark;50 50 per cent of median income;2007 2007;6.0
147 Frederiksberg;50 50 per cent of median income;2007 2007;9.2
153 Brøndby;50 50 per cent of median income;2007 2007;4.9
157 Gentofte;50 50 per cent of median income;2007 2007;6.1
161 Glostrup;50 50 per cent of median income;2007 2007;3.7
165 Albertslund;50 50 per cent of median income;2007 2007;7.5
169 Høje-Taastrup;50 50 per cent of median income;2007 2007;4.8
175 Rødovre;50 50 per cent of median income;2007 2007;4.2
185 Tårnby;50 50 per cent of median income;2007 2007;3.9
190 Furesø;50 50 per cent of median income;2007 2007;3.7
210 Fredensborg;50 50 per cent of median income;2007 2007;3.9
219 Hillerød;50 50 per cent of median income;2007 2007;4.0
230 Rudersdal;50 50 per cent of median income;2007 2007;4.9
250 Frederikssund;50 50 per cent of median income;2007 2007;3.4
259 Køge;50 50 per cent of median income;2007 2007;3.6
265 Roskilde;50 50 per cent of median income;2007 2007;4.8
270 Gribskov;50 50 per cent of median income;2007 2007;3.9
316 Holbæk;50 50 per cent of median income;2007 2007;5.0
326 Kalundborg;50 50 per cent of median income;2007 2007;4.5
330 Slagelse;50 50 per cent of median income;2007 2007;5.6
340 Sorø;50 50 per cent of median income;2007 2007;4.6
360 Lolland;50 50 per cent of median income;2007 2007;6.3
376 Guldborgsund;50 50 per cent of median income;2007 2007;5.8
400 Bornholm;50 50 per cent of median income;2007 2007;5.3
420 Assens;50 50 per cent of median income;2007 2007;4.3
440 Kerteminde;50 50 per cent of median income;2007 2007;3.8
461 Odense;50 50 per cent of median income;2007 2007;8.2
480 Nordfyns;50 50 per cent of median income;2007 2007;4.8
492 Ærø;50 50 per cent of median income;2007 2007;6.2
530 Billund;50 50 per cent of median income;2007 2007;3.7
550 Tønder;50 50 per cent of median income;2007 2007;5.7
563 Fanø;50 50 per cent of median income;2007 2007;4.0
575 Vejen;50 50 per cent of median income;2007 2007;4.6
607 Fredericia;50 50 per cent of median income;2007 2007;3.7
621 Kolding;50 50 per cent of median income;2007 2007;4.8
657 Herning;50 50 per cent of median income;2007 2007;4.8
665 Lemvig;50 50 per cent of median income;2007 2007;4.7
706 Syddjurs;50 50 per cent of median income;2007 2007;4.2
710 Favrskov;50 50 per cent of median income;2007 2007;3.3
730 Randers;50 50 per cent of median income;2007 2007;4.6
741 Samsø;50 50 per cent of median income;2007 2007;6.3
751 Aarhus;50 50 per cent of median income;2007 2007;10.6
760 Ringkøbing-Skjern;50 50 per cent of median income;2007 2007;4.7
773 Morsø;50 50 per cent of median income;2007 2007;5.7
787 Thisted;50 50 per cent of median income;2007 2007;5.1
810 Brønderslev;50 50 per cent of median income;2007 2007;5.3
820 Vesthimmerlands;50 50 per cent of median income;2007 2007;5.0
840 Rebild;50 50 per cent of median income;2007 2007;4.4
849 Jammerbugt;50 50 per cent of median income;2007 2007;5.0
860 Hjørring;50 50 per cent of median income;2007 2007;5.3
101 Copenhagen;50 50 per cent of median income;2006 2006;12.8
151 Ballerup;50 50 per cent of median income;2006 2006;4.1
155 Dragør;50 50 per cent of median income;2006 2006;2.9
159 Gladsaxe;50 50 per cent of median income;2006 2006;5.6
163 Herlev;50 50 per cent of median income;2006 2006;4.8
167 Hvidovre;50 50 per cent of median income;2006 2006;5.3
173 Lyngby-Taarbæk;50 50 per cent of median income;2006 2006;6.1
183 Ishøj;50 50 per cent of median income;2006 2006;6.2
187 Vallensbæk;50 50 per cent of median income;2006 2006;3.3
201 Allerød;50 50 per cent of median income;2006 2006;2.3
217 Helsingør;50 50 per cent of median income;2006 2006;4.8
223 Hørsholm;50 50 per cent of median income;2006 2006;3.3
240 Egedal;50 50 per cent of median income;2006 2006;1.9
253 Greve;50 50 per cent of median income;2006 2006;2.8
260 Halsnæs;50 50 per cent of median income;2006 2006;3.5
269 Solrød;50 50 per cent of median income;2006 2006;2.5
306 Odsherred;50 50 per cent of median income;2006 2006;4.6
320 Faxe;50 50 per cent of median income;2006 2006;4.1
329 Ringsted;50 50 per cent of median income;2006 2006;3.7
336 Stevns;50 50 per cent of median income;2006 2006;3.5
350 Lejre;50 50 per cent of median income;2006 2006;2.7
370 Næstved;50 50 per cent of median income;2006 2006;4.5
390 Vordingborg;50 50 per cent of median income;2006 2006;5.1
410 Middelfart;50 50 per cent of median income;2006 2006;3.3
430 Faaborg-Midtfyn;50 50 per cent of median income;2006 2006;3.9
450 Nyborg;50 50 per cent of median income;2006 2006;4.1
479 Svendborg;50 50 per cent of median income;2006 2006;6.1
482 Langeland;50 50 per cent of median income;2006 2006;5.1
510 Haderslev;50 50 per cent of median income;2006 2006;4.6
540 Sønderborg;50 50 per cent of median income;2006 2006;4.5
561 Esbjerg;50 50 per cent of median income;2006 2006;4.9
573 Varde;50 50 per cent of median income;2006 2006;3.8
580 Aabenraa;50 50 per cent of median income;2006 2006;4.7
615 Horsens;50 50 per cent of median income;2006 2006;4.8
630 Vejle;50 50 per cent of median income;2006 2006;4.2
661 Holstebro;50 50 per cent of median income;2006 2006;5.1
671 Struer;50 50 per cent of median income;2006 2006;4.1
707 Norddjurs;50 50 per cent of median income;2006 2006;5.6
727 Odder;50 50 per cent of median income;2006 2006;3.4
740 Silkeborg;50 50 per cent of median income;2006 2006;4.0
746 Skanderborg;50 50 per cent of median income;2006 2006;2.5
756 Ikast-Brande;50 50 per cent of median income;2006 2006;3.7
766 Hedensted;50 50 per cent of median income;2006 2006;3.1
779 Skive;50 50 per cent of median income;2006 2006;4.1
791 Viborg;50 50 per cent of median income;2006 2006;4.5
813 Frederikshavn;50 50 per cent of median income;2006 2006;4.4
825 Læsø;50 50 per cent of median income;2006 2006;5.5
846 Mariagerfjord;50 50 per cent of median income;2006 2006;4.6
851 Aalborg;50 50 per cent of median income;2006 2006;7.8
000 All Denmark;50 50 per cent of median income;2004 2004;5.7
147 Frederiksberg;50 50 per cent of median income;2004 2004;8.3
153 Brøndby;50 50 per cent of median income;2004 2004;4.9
157 Gentofte;50 50 per cent of median income;2004 2004;5.0
161 Glostrup;50 50 per cent of median income;2004 2004;3.7
165 Albertslund;50 50 per cent of median income;2004 2004;7.0
169 Høje-Taastrup;50 50 per cent of median income;2004 2004;4.8
175 Rødovre;50 50 per cent of median income;2004 2004;4.2
185 Tårnby;50 50 per cent of median income;2004 2004;3.3
190 Furesø;50 50 per cent of median income;2004 2004;3.1
210 Fredensborg;50 50 per cent of median income;2004 2004;3.4
219 Hillerød;50 50 per cent of median income;2004 2004;3.6
230 Rudersdal;50 50 per cent of median income;2004 2004;4.2
250 Frederikssund;50 50 per cent of median income;2004 2004;2.9
259 Køge;50 50 per cent of median income;2004 2004;3.3
265 Roskilde;50 50 per cent of median income;2004 2004;4.3
270 Gribskov;50 50 per cent of median income;2004 2004;3.4
316 Holbæk;50 50 per cent of median income;2004 2004;4.8
326 Kalundborg;50 50 per cent of median income;2004 2004;4.4
330 Slagelse;50 50 per cent of median income;2004 2004;5.4
340 Sorø;50 50 per cent of median income;2004 2004;3.9
360 Lolland;50 50 per cent of median income;2004 2004;5.8
376 Guldborgsund;50 50 per cent of median income;2004 2004;5.0
400 Bornholm;50 50 per cent of median income;2004 2004;5.1
420 Assens;50 50 per cent of median income;2004 2004;3.4
440 Kerteminde;50 50 per cent of median income;2004 2004;2.9
461 Odense;50 50 per cent of median income;2004 2004;8.8
480 Nordfyns;50 50 per cent of median income;2004 2004;4.0
492 Ærø;50 50 per cent of median income;2004 2004;5.5
530 Billund;50 50 per cent of median income;2004 2004;3.4
550 Tønder;50 50 per cent of median income;2004 2004;5.3
563 Fanø;50 50 per cent of median income;2004 2004;3.4
575 Vejen;50 50 per cent of median income;2004 2004;4.0
607 Fredericia;50 50 per cent of median income;2004 2004;4.2
621 Kolding;50 50 per cent of median income;2004 2004;4.9
657 Herning;50 50 per cent of median income;2004 2004;4.4
665 Lemvig;50 50 per cent of median income;2004 2004;5.4
706 Syddjurs;50 50 per cent of median income;2004 2004;3.8
710 Favrskov;50 50 per cent of median income;2004 2004;3.0
730 Randers;50 50 per cent of median income;2004 2004;4.7
741 Samsø;50 50 per cent of median income;2004 2004;5.3
751 Aarhus;50 50 per cent of median income;2004 2004;10.2
760 Ringkøbing-Skjern;50 50 per cent of median income;2004 2004;4.2
773 Morsø;50 50 per cent of median income;2004 2004;4.3
787 Thisted;50 50 per cent of median income;2004 2004;5.0
810 Brønderslev;50 50 per cent of median income;2004 2004;4.6
820 Vesthimmerlands;50 50 per cent of median income;2004 2004;5.0
840 Rebild;50 50 per cent of median income;2004 2004;3.7
849 Jammerbugt;50 50 per cent of median income;2004 2004;4.5
860 Hjørring;50 50 per cent of median income;2004 2004;4.9
101 Copenhagen;50 50 per cent of median income;2003 2003;11.4
151 Ballerup;50 50 per cent of median income;2003 2003;3.0
155 Dragør;50 50 per cent of median income;2003 2003;2.5
159 Gladsaxe;50 50 per cent of median income;2003 2003;4.5
163 Herlev;50 50 per cent of median income;2003 2003;4.4
167 Hvidovre;50 50 per cent of median income;2003 2003;4.5
173 Lyngby-Taarbæk;50 50 per cent of median income;2003 2003;4.9
183 Ishøj;50 50 per cent of median income;2003 2003;5.6
187 Vallensbæk;50 50 per cent of median income;2003 2003;2.1
201 Allerød;50 50 per cent of median income;2003 2003;2.0
217 Helsingør;50 50 per cent of median income;2003 2003;3.9
223 Hørsholm;50 50 per cent of median income;2003 2003;3.2
240 Egedal;50 50 per cent of median income;2003 2003;1.9
253 Greve;50 50 per cent of median income;2003 2003;2.6
260 Halsnæs;50 50 per cent of median income;2003 2003;3.6
269 Solrød;50 50 per cent of median income;2003 2003;2.3
306 Odsherred;50 50 per cent of median income;2003 2003;3.9
320 Faxe;50 50 per cent of median income;2003 2003;4.0
329 Ringsted;50 50 per cent of median income;2003 2003;3.6
336 Stevns;50 50 per cent of median income;2003 2003;3.1
350 Lejre;50 50 per cent of median income;2003 2003;2.4
370 Næstved;50 50 per cent of median income;2003 2003;4.0
390 Vordingborg;50 50 per cent of median income;2003 2003;4.5
410 Middelfart;50 50 per cent of median income;2003 2003;3.1
430 Faaborg-Midtfyn;50 50 per cent of median income;2003 2003;3.8
450 Nyborg;50 50 per cent of median income;2003 2003;3.6
479 Svendborg;50 50 per cent of median income;2003 2003;5.9
482 Langeland;50 50 per cent of median income;2003 2003;5.4
510 Haderslev;50 50 per cent of median income;2003 2003;4.3
540 Sønderborg;50 50 per cent of median income;2003 2003;4.5
561 Esbjerg;50 50 per cent of median income;2003 2003;4.7
573 Varde;50 50 per cent of median income;2003 2003;4.3
580 Aabenraa;50 50 per cent of median income;2003 2003;4.5
615 Horsens;50 50 per cent of median income;2003 2003;4.3
630 Vejle;50 50 per cent of median income;2003 2003;4.1
661 Holstebro;50 50 per cent of median income;2003 2003;5.3
671 Struer;50 50 per cent of median income;2003 2003;4.5
707 Norddjurs;50 50 per cent of median income;2003 2003;4.5
727 Odder;50 50 per cent of median income;2003 2003;3.7
740 Silkeborg;50 50 per cent of median income;2003 2003;3.8
746 Skanderborg;50 50 per cent of median income;2003 2003;2.4
756 Ikast-Brande;50 50 per cent of median income;2003 2003;4.1
766 Hedensted;50 50 per cent of median income;2003 2003;3.0
779 Skive;50 50 per cent of median income;2003 2003;4.6
791 Viborg;50 50 per cent of median income;2003 2003;4.2
813 Frederikshavn;50 50 per cent of median income;2003 2003;3.7
825 Læsø;50 50 per cent of median income;2003 2003;4.3
846 Mariagerfjord;50 50 per cent of median income;2003 2003;4.5
851 Aalborg;50 50 per cent of median income;2003 2003;6.7
000 All Denmark;50 50 per cent of median income;2001 2001;5.4
147 Frederiksberg;50 50 per cent of median income;2001 2001;7.2
153 Brøndby;50 50 per cent of median income;2001 2001;4.2
157 Gentofte;50 50 per cent of median income;2001 2001;4.9
161 Glostrup;50 50 per cent of median income;2001 2001;3.0
165 Albertslund;50 50 per cent of median income;2001 2001;6.5
169 Høje-Taastrup;50 50 per cent of median income;2001 2001;4.0
175 Rødovre;50 50 per cent of median income;2001 2001;4.2
185 Tårnby;50 50 per cent of median income;2001 2001;3.0
190 Furesø;50 50 per cent of median income;2001 2001;2.8
210 Fredensborg;50 50 per cent of median income;2001 2001;3.9
219 Hillerød;50 50 per cent of median income;2001 2001;3.6
230 Rudersdal;50 50 per cent of median income;2001 2001;4.0
250 Frederikssund;50 50 per cent of median income;2001 2001;3.0
259 Køge;50 50 per cent of median income;2001 2001;3.0
265 Roskilde;50 50 per cent of median income;2001 2001;3.7
270 Gribskov;50 50 per cent of median income;2001 2001;3.7
316 Holbæk;50 50 per cent of median income;2001 2001;4.4
326 Kalundborg;50 50 per cent of median income;2001 2001;4.2
330 Slagelse;50 50 per cent of median income;2001 2001;4.8
340 Sorø;50 50 per cent of median income;2001 2001;3.9
360 Lolland;50 50 per cent of median income;2001 2001;5.5
376 Guldborgsund;50 50 per cent of median income;2001 2001;4.8
400 Bornholm;50 50 per cent of median income;2001 2001;4.7
420 Assens;50 50 per cent of median income;2001 2001;3.9
440 Kerteminde;50 50 per cent of median income;2001 2001;3.6
461 Odense;50 50 per cent of median income;2001 2001;8.0
480 Nordfyns;50 50 per cent of median income;2001 2001;3.8
492 Ærø;50 50 per cent of median income;2001 2001;6.3
530 Billund;50 50 per cent of median income;2001 2001;3.3
550 Tønder;50 50 per cent of median income;2001 2001;4.9
563 Fanø;50 50 per cent of median income;2001 2001;5.0
575 Vejen;50 50 per cent of median income;2001 2001;4.1
607 Fredericia;50 50 per cent of median income;2001 2001;3.6
621 Kolding;50 50 per cent of median income;2001 2001;4.5
657 Herning;50 50 per cent of median income;2001 2001;4.4
665 Lemvig;50 50 per cent of median income;2001 2001;5.0
706 Syddjurs;50 50 per cent of median income;2001 2001;3.5
710 Favrskov;50 50 per cent of median income;2001 2001;2.7
730 Randers;50 50 per cent of median income;2001 2001;4.5
741 Samsø;50 50 per cent of median income;2001 2001;5.0
751 Aarhus;50 50 per cent of median income;2001 2001;9.5
760 Ringkøbing-Skjern;50 50 per cent of median income;2001 2001;3.7
773 Morsø;50 50 per cent of median income;2001 2001;4.3
787 Thisted;50 50 per cent of median income;2001 2001;4.7
810 Brønderslev;50 50 per cent of median income;2001 2001;4.3
820 Vesthimmerlands;50 50 per cent of median income;2001 2001;5.6
840 Rebild;50 50 per cent of median income;2001 2001;4.3
849 Jammerbugt;50 50 per cent of median income;2001 2001;4.0
860 Hjørring;50 50 per cent of median income;2001 2001;4.8
101 Copenhagen;50 50 per cent of median income;2000 2000;11.1
151 Ballerup;50 50 per cent of median income;2000 2000;3.1
155 Dragør;50 50 per cent of median income;2000 2000;2.7
159 Gladsaxe;50 50 per cent of median income;2000 2000;4.6
163 Herlev;50 50 per cent of median income;2000 2000;4.8
167 Hvidovre;50 50 per cent of median income;2000 2000;4.8
173 Lyngby-Taarbæk;50 50 per cent of median income;2000 2000;4.6
183 Ishøj;50 50 per cent of median income;2000 2000;6.3
187 Vallensbæk;50 50 per cent of median income;2000 2000;2.0
201 Allerød;50 50 per cent of median income;2000 2000;2.3
217 Helsingør;50 50 per cent of median income;2000 2000;4.2
223 Hørsholm;50 50 per cent of median income;2000 2000;2.9
240 Egedal;50 50 per cent of median income;2000 2000;2.1
253 Greve;50 50 per cent of median income;2000 2000;2.6
260 Halsnæs;50 50 per cent of median income;2000 2000;3.7
269 Solrød;50 50 per cent of median income;2000 2000;2.1
306 Odsherred;50 50 per cent of median income;2000 2000;4.6
320 Faxe;50 50 per cent of median income;2000 2000;4.3
329 Ringsted;50 50 per cent of median income;2000 2000;3.8
336 Stevns;50 50 per cent of median income;2000 2000;3.1
350 Lejre;50 50 per cent of median income;2000 2000;2.4
370 Næstved;50 50 per cent of median income;2000 2000;3.9
390 Vordingborg;50 50 per cent of median income;2000 2000;4.7
410 Middelfart;50 50 per cent of median income;2000 2000;3.2
430 Faaborg-Midtfyn;50 50 per cent of median income;2000 2000;3.6
450 Nyborg;50 50 per cent of median income;2000 2000;3.9
479 Svendborg;50 50 per cent of median income;2000 2000;6.0
482 Langeland;50 50 per cent of median income;2000 2000;4.7
510 Haderslev;50 50 per cent of median income;2000 2000;4.3
540 Sønderborg;50 50 per cent of median income;2000 2000;3.7
561 Esbjerg;50 50 per cent of median income;2000 2000;4.6
573 Varde;50 50 per cent of median income;2000 2000;3.7
580 Aabenraa;50 50 per cent of median income;2000 2000;4.1
615 Horsens;50 50 per cent of median income;2000 2000;4.2
630 Vejle;50 50 per cent of median income;2000 2000;4.1
661 Holstebro;50 50 per cent of median income;2000 2000;4.8
671 Struer;50 50 per cent of median income;2000 2000;4.1
707 Norddjurs;50 50 per cent of median income;2000 2000;4.6
727 Odder;50 50 per cent of median income;2000 2000;3.1
740 Silkeborg;50 50 per cent of median income;2000 2000;3.8
746 Skanderborg;50 50 per cent of median income;2000 2000;2.6
756 Ikast-Brande;50 50 per cent of median income;2000 2000;3.7
766 Hedensted;50 50 per cent of median income;2000 2000;2.8
779 Skive;50 50 per cent of median income;2000 2000;4.7
791 Viborg;50 50 per cent of median income;2000 2000;4.1
813 Frederikshavn;50 50 per cent of median income;2000 2000;4.2
825 Læsø;50 50 per cent of median income;2000 2000;5.2
846 Mariagerfjord;50 50 per cent of median income;2000 2000;4.0
851 Aalborg;50 50 per cent of median income;2000 2000;6.5
000 All Denmark;50 50 per cent of median income;2005 2005;6.0
147 Frederiksberg;50 50 per cent of median income;2005 2005;8.9
153 Brøndby;50 50 per cent of median income;2005 2005;5.0
157 Gentofte;50 50 per cent of median income;2005 2005;4.8
161 Glostrup;50 50 per cent of median income;2005 2005;3.3
165 Albertslund;50 50 per cent of median income;2005 2005;7.6
169 Høje-Taastrup;50 50 per cent of median income;2005 2005;4.7
175 Rødovre;50 50 per cent of median income;2005 2005;4.3
185 Tårnby;50 50 per cent of median income;2005 2005;3.7
190 Furesø;50 50 per cent of median income;2005 2005;3.5
210 Fredensborg;50 50 per cent of median income;2005 2005;3.6
219 Hillerød;50 50 per cent of median income;2005 2005;3.3
230 Rudersdal;50 50 per cent of median income;2005 2005;4.2
250 Frederikssund;50 50 per cent of median income;2005 2005;2.9
259 Køge;50 50 per cent of median income;2005 2005;3.3
265 Roskilde;50 50 per cent of median income;2005 2005;4.5
270 Gribskov;50 50 per cent of median income;2005 2005;3.2
316 Holbæk;50 50 per cent of median income;2005 2005;5.1
326 Kalundborg;50 50 per cent of median income;2005 2005;4.9
330 Slagelse;50 50 per cent of median income;2005 2005;5.7
340 Sorø;50 50 per cent of median income;2005 2005;4.2
360 Lolland;50 50 per cent of median income;2005 2005;6.8
376 Guldborgsund;50 50 per cent of median income;2005 2005;5.5
400 Bornholm;50 50 per cent of median income;2005 2005;5.0
420 Assens;50 50 per cent of median income;2005 2005;3.9
440 Kerteminde;50 50 per cent of median income;2005 2005;3.3
461 Odense;50 50 per cent of median income;2005 2005;9.0
480 Nordfyns;50 50 per cent of median income;2005 2005;4.2
492 Ærø;50 50 per cent of median income;2005 2005;6.2
530 Billund;50 50 per cent of median income;2005 2005;3.6
550 Tønder;50 50 per cent of median income;2005 2005;6.1
563 Fanø;50 50 per cent of median income;2005 2005;4.0
575 Vejen;50 50 per cent of median income;2005 2005;4.4
607 Fredericia;50 50 per cent of median income;2005 2005;4.3
621 Kolding;50 50 per cent of median income;2005 2005;5.1
657 Herning;50 50 per cent of median income;2005 2005;4.8
665 Lemvig;50 50 per cent of median income;2005 2005;4.9
706 Syddjurs;50 50 per cent of median income;2005 2005;4.2
710 Favrskov;50 50 per cent of median income;2005 2005;3.2
730 Randers;50 50 per cent of median income;2005 2005;5.1
741 Samsø;50 50 per cent of median income;2005 2005;6.1
751 Aarhus;50 50 per cent of median income;2005 2005;10.6
760 Ringkøbing-Skjern;50 50 per cent of median income;2005 2005;4.5
773 Morsø;50 50 per cent of median income;2005 2005;4.9
787 Thisted;50 50 per cent of median income;2005 2005;4.9
810 Brønderslev;50 50 per cent of median income;2005 2005;4.6
820 Vesthimmerlands;50 50 per cent of median income;2005 2005;5.1
840 Rebild;50 50 per cent of median income;2005 2005;4.0
849 Jammerbugt;50 50 per cent of median income;2005 2005;4.5
860 Hjørring;50 50 per cent of median income;2005 2005;5.3
101 Copenhagen;50 50 per cent of median income;2002 2002;11.2
151 Ballerup;50 50 per cent of median income;2002 2002;2.9
155 Dragør;50 50 per cent of median income;2002 2002;2.6
159 Gladsaxe;50 50 per cent of median income;2002 2002;4.2
163 Herlev;50 50 per cent of median income;2002 2002;4.3
167 Hvidovre;50 50 per cent of median income;2002 2002;4.5
173 Lyngby-Taarbæk;50 50 per cent of median income;2002 2002;4.6
183 Ishøj;50 50 per cent of median income;2002 2002;6.0
187 Vallensbæk;50 50 per cent of median income;2002 2002;2.0
201 Allerød;50 50 per cent of median income;2002 2002;1.9
217 Helsingør;50 50 per cent of median income;2002 2002;3.7
223 Hørsholm;50 50 per cent of median income;2002 2002;3.0
240 Egedal;50 50 per cent of median income;2002 2002;1.9
253 Greve;50 50 per cent of median income;2002 2002;2.4
260 Halsnæs;50 50 per cent of median income;2002 2002;3.6
269 Solrød;50 50 per cent of median income;2002 2002;2.1
306 Odsherred;50 50 per cent of median income;2002 2002;3.8
320 Faxe;50 50 per cent of median income;2002 2002;3.7
329 Ringsted;50 50 per cent of median income;2002 2002;3.9
336 Stevns;50 50 per cent of median income;2002 2002;3.0
350 Lejre;50 50 per cent of median income;2002 2002;2.6
370 Næstved;50 50 per cent of median income;2002 2002;3.8
390 Vordingborg;50 50 per cent of median income;2002 2002;4.6
410 Middelfart;50 50 per cent of median income;2002 2002;3.0
430 Faaborg-Midtfyn;50 50 per cent of median income;2002 2002;3.9
450 Nyborg;50 50 per cent of median income;2002 2002;3.7
479 Svendborg;50 50 per cent of median income;2002 2002;5.8
482 Langeland;50 50 per cent of median income;2002 2002;5.2
510 Haderslev;50 50 per cent of median income;2002 2002;4.3
540 Sønderborg;50 50 per cent of median income;2002 2002;4.2
561 Esbjerg;50 50 per cent of median income;2002 2002;4.7
573 Varde;50 50 per cent of median income;2002 2002;4.0
580 Aabenraa;50 50 per cent of median income;2002 2002;4.2
615 Horsens;50 50 per cent of median income;2002 2002;4.2
630 Vejle;50 50 per cent of median income;2002 2002;4.1
661 Holstebro;50 50 per cent of median income;2002 2002;5.1
671 Struer;50 50 per cent of median income;2002 2002;4.2
707 Norddjurs;50 50 per cent of median income;2002 2002;4.4
727 Odder;50 50 per cent of median income;2002 2002;3.2
740 Silkeborg;50 50 per cent of median income;2002 2002;3.7
746 Skanderborg;50 50 per cent of median income;2002 2002;2.4
756 Ikast-Brande;50 50 per cent of median income;2002 2002;3.9
000 All Denmark;60 60 per cent of median income;2013 2013;12.4
147 Frederiksberg;60 60 per cent of median income;2013 2013;16.4
153 Brøndby;60 60 per cent of median income;2013 2013;14.7
157 Gentofte;60 60 per cent of median income;2013 2013;9.2
161 Glostrup;60 60 per cent of median income;2013 2013;10.8
165 Albertslund;60 60 per cent of median income;2013 2013;17.8
169 Høje-Taastrup;60 60 per cent of median income;2013 2013;12.9
175 Rødovre;60 60 per cent of median income;2013 2013;11.9
185 Tårnby;60 60 per cent of median income;2013 2013;9.0
190 Furesø;60 60 per cent of median income;2013 2013;7.0
210 Fredensborg;60 60 per cent of median income;2013 2013;8.5
219 Hillerød;60 60 per cent of median income;2013 2013;7.9
230 Rudersdal;60 60 per cent of median income;2013 2013;7.3
250 Frederikssund;60 60 per cent of median income;2013 2013;7.4
259 Køge;60 60 per cent of median income;2013 2013;9.0
265 Roskilde;60 60 per cent of median income;2013 2013;10.1
270 Gribskov;60 60 per cent of median income;2013 2013;7.3
316 Holbæk;60 60 per cent of median income;2013 2013;9.9
326 Kalundborg;60 60 per cent of median income;2013 2013;9.9
330 Slagelse;60 60 per cent of median income;2013 2013;12.5
340 Sorø;60 60 per cent of median income;2013 2013;8.8
360 Lolland;60 60 per cent of median income;2013 2013;14.1
376 Guldborgsund;60 60 per cent of median income;2013 2013;12.3
400 Bornholm;60 60 per cent of median income;2013 2013;9.9
420 Assens;60 60 per cent of median income;2013 2013;8.7
440 Kerteminde;60 60 per cent of median income;2013 2013;8.1
461 Odense;60 60 per cent of median income;2013 2013;17.8
480 Nordfyns;60 60 per cent of median income;2013 2013;7.9
492 Ærø;60 60 per cent of median income;2013 2013;13.5
530 Billund;60 60 per cent of median income;2013 2013;8.2
550 Tønder;60 60 per cent of median income;2013 2013;12.4
563 Fanø;60 60 per cent of median income;2013 2013;7.3
575 Vejen;60 60 per cent of median income;2013 2013;9.5
607 Fredericia;60 60 per cent of median income;2013 2013;11.4
621 Kolding;60 60 per cent of median income;2013 2013;10.5
657 Herning;60 60 per cent of median income;2013 2013;10.3
665 Lemvig;60 60 per cent of median income;2013 2013;8.4
706 Syddjurs;60 60 per cent of median income;2013 2013;7.5
710 Favrskov;60 60 per cent of median income;2013 2013;6.1
730 Randers;60 60 per cent of median income;2013 2013;11.4
741 Samsø;60 60 per cent of median income;2013 2013;10.0
751 Aarhus;60 60 per cent of median income;2013 2013;19.3
760 Ringkøbing-Skjern;60 60 per cent of median income;2013 2013;8.4
773 Morsø;60 60 per cent of median income;2013 2013;10.6
787 Thisted;60 60 per cent of median income;2013 2013;10.4
810 Brønderslev;60 60 per cent of median income;2013 2013;9.3
