KOMMUNEDK;INDKN;TID;INDHOLD
410 Middelfart;60 60 per cent of median income;2007 2007;6.8
430 Faaborg-Midtfyn;60 60 per cent of median income;2007 2007;8.9
450 Nyborg;60 60 per cent of median income;2007 2007;8.4
479 Svendborg;60 60 per cent of median income;2007 2007;10.8
482 Langeland;60 60 per cent of median income;2007 2007;12.9
510 Haderslev;60 60 per cent of median income;2007 2007;9.4
540 Sønderborg;60 60 per cent of median income;2007 2007;9.6
561 Esbjerg;60 60 per cent of median income;2007 2007;9.9
573 Varde;60 60 per cent of median income;2007 2007;8.5
580 Aabenraa;60 60 per cent of median income;2007 2007;10.1
615 Horsens;60 60 per cent of median income;2007 2007;9.3
630 Vejle;60 60 per cent of median income;2007 2007;8.3
661 Holstebro;60 60 per cent of median income;2007 2007;9.5
671 Struer;60 60 per cent of median income;2007 2007;8.9
707 Norddjurs;60 60 per cent of median income;2007 2007;11.2
727 Odder;60 60 per cent of median income;2007 2007;6.3
740 Silkeborg;60 60 per cent of median income;2007 2007;7.9
746 Skanderborg;60 60 per cent of median income;2007 2007;5.1
756 Ikast-Brande;60 60 per cent of median income;2007 2007;8.9
766 Hedensted;60 60 per cent of median income;2007 2007;5.9
779 Skive;60 60 per cent of median income;2007 2007;9.2
791 Viborg;60 60 per cent of median income;2007 2007;8.4
813 Frederikshavn;60 60 per cent of median income;2007 2007;8.8
825 Læsø;60 60 per cent of median income;2007 2007;10.7
846 Mariagerfjord;60 60 per cent of median income;2007 2007;9.2
851 Aalborg;60 60 per cent of median income;2007 2007;13.2
000 All Denmark;60 60 per cent of median income;2006 2006;10.8
147 Frederiksberg;60 60 per cent of median income;2006 2006;14.6
153 Brøndby;60 60 per cent of median income;2006 2006;10.2
157 Gentofte;60 60 per cent of median income;2006 2006;8.3
161 Glostrup;60 60 per cent of median income;2006 2006;7.4
165 Albertslund;60 60 per cent of median income;2006 2006;13.8
169 Høje-Taastrup;60 60 per cent of median income;2006 2006;9.1
175 Rødovre;60 60 per cent of median income;2006 2006;8.8
185 Tårnby;60 60 per cent of median income;2006 2006;7.0
190 Furesø;60 60 per cent of median income;2006 2006;6.1
210 Fredensborg;60 60 per cent of median income;2006 2006;7.2
219 Hillerød;60 60 per cent of median income;2006 2006;6.7
230 Rudersdal;60 60 per cent of median income;2006 2006;6.9
250 Frederikssund;60 60 per cent of median income;2006 2006;5.4
259 Køge;60 60 per cent of median income;2006 2006;7.0
265 Roskilde;60 60 per cent of median income;2006 2006;7.8
270 Gribskov;60 60 per cent of median income;2006 2006;6.2
316 Holbæk;60 60 per cent of median income;2006 2006;9.2
326 Kalundborg;60 60 per cent of median income;2006 2006;8.8
330 Slagelse;60 60 per cent of median income;2006 2006;11.0
