OMRÅDE;KØN;TID;INDHOLD
573 Varde;TOT Total;2021:2025 2021:2025;82.2
575 Vejen;TOT Total;2021:2025 2021:2025;81.8
580 Aabenraa;TOT Total;2021:2025 2021:2025;81.5
607 Fredericia;TOT Total;2021:2025 2021:2025;81.2
615 Horsens;TOT Total;2021:2025 2021:2025;81.5
621 Kolding;TOT Total;2021:2025 2021:2025;82.0
630 Vejle;TOT Total;2021:2025 2021:2025;82.0
657 Herning;TOT Total;2021:2025 2021:2025;81.8
661 Holstebro;TOT Total;2021:2025 2021:2025;81.7
665 Lemvig;TOT Total;2021:2025 2021:2025;81.4
671 Struer;TOT Total;2021:2025 2021:2025;81.0
706 Syddjurs;TOT Total;2021:2025 2021:2025;82.2
707 Norddjurs;TOT Total;2021:2025 2021:2025;80.9
710 Favrskov;TOT Total;2021:2025 2021:2025;82.6
727 Odder;TOT Total;2021:2025 2021:2025;83.5
730 Randers;TOT Total;2021:2025 2021:2025;80.8
740 Silkeborg;TOT Total;2021:2025 2021:2025;82.6
741 Samsø;TOT Total;2021:2025 2021:2025;..
746 Skanderborg;TOT Total;2021:2025 2021:2025;83.0
751 Aarhus;TOT Total;2021:2025 2021:2025;82.4
756 Ikast-Brande;TOT Total;2021:2025 2021:2025;81.7
760 Ringkøbing-Skjern;TOT Total;2021:2025 2021:2025;82.0
766 Hedensted;TOT Total;2021:2025 2021:2025;82.2
773 Morsø;TOT Total;2021:2025 2021:2025;80.6
779 Skive;TOT Total;2021:2025 2021:2025;81.5
787 Thisted;TOT Total;2021:2025 2021:2025;80.7
791 Viborg;TOT Total;2021:2025 2021:2025;82.0
810 Brønderslev;TOT Total;2021:2025 2021:2025;80.9
813 Frederikshavn;TOT Total;2021:2025 2021:2025;80.7
820 Vesthimmerlands;TOT Total;2021:2025 2021:2025;80.9
825 Læsø;TOT Total;2021:2025 2021:2025;..
840 Rebild;TOT Total;2021:2025 2021:2025;81.9
846 Mariagerfjord;TOT Total;2021:2025 2021:2025;81.4
849 Jammerbugt;TOT Total;2021:2025 2021:2025;81.3
851 Aalborg;TOT Total;2021:2025 2021:2025;81.1
860 Hjørring;TOT Total;2021:2025 2021:2025;81.3
000 All Denmark;TOT Total;2002:2006 2002:2006;77.6
101 Copenhagen;TOT Total;2002:2006 2002:2006;75.0
147 Frederiksberg;TOT Total;2002:2006 2002:2006;77.4
151 Ballerup;TOT Total;2002:2006 2002:2006;76.9
153 Brøndby;TOT Total;2002:2006 2002:2006;77.0
155 Dragør;TOT Total;2002:2006 2002:2006;79.7
157 Gentofte;TOT Total;2002:2006 2002:2006;79.3
159 Gladsaxe;TOT Total;2002:2006 2002:2006;77.5
161 Glostrup;TOT Total;2002:2006 2002:2006;77.4
163 Herlev;TOT Total;2002:2006 2002:2006;76.9
165 Albertslund;TOT Total;2002:2006 2002:2006;77.5
167 Hvidovre;TOT Total;2002:2006 2002:2006;76.6
169 Høje-Taastrup;TOT Total;2002:2006 2002:2006;76.8
173 Lyngby-Taarbæk;TOT Total;2002:2006 2002:2006;79.2
175 Rødovre;TOT Total;2002:2006 2002:2006;76.5
183 Ishøj;TOT Total;2002:2006 2002:2006;75.6
185 Tårnby;TOT Total;2002:2006 2002:2006;76.8
187 Vallensbæk;TOT Total;2002:2006 2002:2006;78.8
190 Furesø;TOT Total;2002:2006 2002:2006;79.2
201 Allerød;TOT Total;2002:2006 2002:2006;79.6
210 Fredensborg;TOT Total;2002:2006 2002:2006;77.4
217 Helsingør;TOT Total;2002:2006 2002:2006;77.2
219 Hillerød;TOT Total;2002:2006 2002:2006;78.2
223 Hørsholm;TOT Total;2002:2006 2002:2006;80.5
230 Rudersdal;TOT Total;2002:2006 2002:2006;79.6
240 Egedal;TOT Total;2002:2006 2002:2006;78.4
250 Frederikssund;TOT Total;2002:2006 2002:2006;77.2
253 Greve;TOT Total;2002:2006 2002:2006;77.7
259 Køge;TOT Total;2002:2006 2002:2006;77.4
260 Halsnæs;TOT Total;2002:2006 2002:2006;76.2
265 Roskilde;TOT Total;2002:2006 2002:2006;77.8
269 Solrød;TOT Total;2002:2006 2002:2006;78.8
270 Gribskov;TOT Total;2002:2006 2002:2006;77.3
306 Odsherred;TOT Total;2002:2006 2002:2006;76.8
316 Holbæk;TOT Total;2002:2006 2002:2006;77.0
320 Faxe;TOT Total;2002:2006 2002:2006;77.2
326 Kalundborg;TOT Total;2002:2006 2002:2006;76.5
329 Ringsted;TOT Total;2002:2006 2002:2006;77.2
330 Slagelse;TOT Total;2002:2006 2002:2006;76.1
336 Stevns;TOT Total;2002:2006 2002:2006;77.7
340 Sorø;TOT Total;2002:2006 2002:2006;76.5
