OMRÅDE;KØN;TID;INDHOLD
169 Høje-Taastrup;TOT Total;2007:2011 2007:2011;77.8
173 Lyngby-Taarbæk;TOT Total;2007:2011 2007:2011;81.0
175 Rødovre;TOT Total;2007:2011 2007:2011;78.4
183 Ishøj;TOT Total;2007:2011 2007:2011;77.1
185 Tårnby;TOT Total;2007:2011 2007:2011;78.6
187 Vallensbæk;TOT Total;2007:2011 2007:2011;79.5
190 Furesø;TOT Total;2007:2011 2007:2011;80.5
201 Allerød;TOT Total;2007:2011 2007:2011;81.2
210 Fredensborg;TOT Total;2007:2011 2007:2011;79.0
217 Helsingør;TOT Total;2007:2011 2007:2011;78.6
219 Hillerød;TOT Total;2007:2011 2007:2011;79.7
223 Hørsholm;TOT Total;2007:2011 2007:2011;81.2
230 Rudersdal;TOT Total;2007:2011 2007:2011;80.8
240 Egedal;TOT Total;2007:2011 2007:2011;80.1
250 Frederikssund;TOT Total;2007:2011 2007:2011;78.9
253 Greve;TOT Total;2007:2011 2007:2011;78.8
259 Køge;TOT Total;2007:2011 2007:2011;78.8
260 Halsnæs;TOT Total;2007:2011 2007:2011;78.1
265 Roskilde;TOT Total;2007:2011 2007:2011;79.3
269 Solrød;TOT Total;2007:2011 2007:2011;80.2
270 Gribskov;TOT Total;2007:2011 2007:2011;78.9
306 Odsherred;TOT Total;2007:2011 2007:2011;77.1
316 Holbæk;TOT Total;2007:2011 2007:2011;78.6
320 Faxe;TOT Total;2007:2011 2007:2011;78.2
326 Kalundborg;TOT Total;2007:2011 2007:2011;77.6
329 Ringsted;TOT Total;2007:2011 2007:2011;78.7
330 Slagelse;TOT Total;2007:2011 2007:2011;77.6
336 Stevns;TOT Total;2007:2011 2007:2011;78.8
340 Sorø;TOT Total;2007:2011 2007:2011;77.8
350 Lejre;TOT Total;2007:2011 2007:2011;80.0
360 Lolland;TOT Total;2007:2011 2007:2011;75.8
370 Næstved;TOT Total;2007:2011 2007:2011;77.8
376 Guldborgsund;TOT Total;2007:2011 2007:2011;76.9
390 Vordingborg;TOT Total;2007:2011 2007:2011;77.0
400 Bornholm;TOT Total;2007:2011 2007:2011;79.0
410 Middelfart;TOT Total;2007:2011 2007:2011;79.2
420 Assens;TOT Total;2007:2011 2007:2011;78.9
430 Faaborg-Midtfyn;TOT Total;2007:2011 2007:2011;79.3
440 Kerteminde;TOT Total;2007:2011 2007:2011;78.9
450 Nyborg;TOT Total;2007:2011 2007:2011;78.2
461 Odense;TOT Total;2007:2011 2007:2011;78.5
479 Svendborg;TOT Total;2007:2011 2007:2011;79.1
480 Nordfyns;TOT Total;2007:2011 2007:2011;78.8
482 Langeland;TOT Total;2007:2011 2007:2011;78.3
492 Ærø;TOT Total;2007:2011 2007:2011;..
510 Haderslev;TOT Total;2007:2011 2007:2011;78.7
530 Billund;TOT Total;2007:2011 2007:2011;79.7
540 Sønderborg;TOT Total;2007:2011 2007:2011;79.3
550 Tønder;TOT Total;2007:2011 2007:2011;78.7
561 Esbjerg;TOT Total;2007:2011 2007:2011;78.5
563 Fanø;TOT Total;2007:2011 2007:2011;..
573 Varde;TOT Total;2007:2011 2007:2011;79.7
575 Vejen;TOT Total;2007:2011 2007:2011;79.4
580 Aabenraa;TOT Total;2007:2011 2007:2011;78.8
607 Fredericia;TOT Total;2007:2011 2007:2011;78.3
615 Horsens;TOT Total;2007:2011 2007:2011;79.1
621 Kolding;TOT Total;2007:2011 2007:2011;79.5
630 Vejle;TOT Total;2007:2011 2007:2011;79.3
657 Herning;TOT Total;2007:2011 2007:2011;79.6
661 Holstebro;TOT Total;2007:2011 2007:2011;79.1
665 Lemvig;TOT Total;2007:2011 2007:2011;78.6
671 Struer;TOT Total;2007:2011 2007:2011;78.4
706 Syddjurs;TOT Total;2007:2011 2007:2011;79.6
707 Norddjurs;TOT Total;2007:2011 2007:2011;77.8
710 Favrskov;TOT Total;2007:2011 2007:2011;80.4
727 Odder;TOT Total;2007:2011 2007:2011;80.1
730 Randers;TOT Total;2007:2011 2007:2011;78.7
740 Silkeborg;TOT Total;2007:2011 2007:2011;79.4
741 Samsø;TOT Total;2007:2011 2007:2011;..
746 Skanderborg;TOT Total;2007:2011 2007:2011;80.2
751 Aarhus;TOT Total;2007:2011 2007:2011;79.7
756 Ikast-Brande;TOT Total;2007:2011 2007:2011;79.4
760 Ringkøbing-Skjern;TOT Total;2007:2011 2007:2011;79.4
766 Hedensted;TOT Total;2007:2011 2007:2011;80.0
773 Morsø;TOT Total;2007:2011 2007:2011;77.8
779 Skive;TOT Total;2007:2011 2007:2011;79.6
787 Thisted;TOT Total;2007:2011 2007:2011;78.2
791 Viborg;TOT Total;2007:2011 2007:2011;79.8
810 Brønderslev;TOT Total;2007:2011 2007:2011;79.0
813 Frederikshavn;TOT Total;2007:2011 2007:2011;78.3
820 Vesthimmerlands;TOT Total;2007:2011 2007:2011;79.0
825 Læsø;TOT Total;2007:2011 2007:2011;..
840 Rebild;TOT Total;2007:2011 2007:2011;79.5
846 Mariagerfjord;TOT Total;2007:2011 2007:2011;78.6
849 Jammerbugt;TOT Total;2007:2011 2007:2011;79.1
851 Aalborg;TOT Total;2007:2011 2007:2011;78.8
860 Hjørring;TOT Total;2007:2011 2007:2011;79.1
000 All Denmark;TOT Total;2009:2013 2009:2013;79.4
101 Copenhagen;TOT Total;2009:2013 2009:2013;77.2
147 Frederiksberg;TOT Total;2009:2013 2009:2013;79.2
151 Ballerup;TOT Total;2009:2013 2009:2013;79.0
153 Brøndby;TOT Total;2009:2013 2009:2013;78.3
155 Dragør;TOT Total;2009:2013 2009:2013;80.2
157 Gentofte;TOT Total;2009:2013 2009:2013;81.6
159 Gladsaxe;TOT Total;2009:2013 2009:2013;78.6
161 Glostrup;TOT Total;2009:2013 2009:2013;80.1
163 Herlev;TOT Total;2009:2013 2009:2013;78.2
165 Albertslund;TOT Total;2009:2013 2009:2013;79.4
167 Hvidovre;TOT Total;2009:2013 2009:2013;79.1
169 Høje-Taastrup;TOT Total;2009:2013 2009:2013;78.4
173 Lyngby-Taarbæk;TOT Total;2009:2013 2009:2013;81.5
175 Rødovre;TOT Total;2009:2013 2009:2013;78.9
183 Ishøj;TOT Total;2009:2013 2009:2013;77.4
185 Tårnby;TOT Total;2009:2013 2009:2013;78.9
187 Vallensbæk;TOT Total;2009:2013 2009:2013;80.3
190 Furesø;TOT Total;2009:2013 2009:2013;81.5
201 Allerød;TOT Total;2009:2013 2009:2013;81.4
210 Fredensborg;TOT Total;2009:2013 2009:2013;80.1
217 Helsingør;TOT Total;2009:2013 2009:2013;79.3
219 Hillerød;TOT Total;2009:2013 2009:2013;80.3
223 Hørsholm;TOT Total;2009:2013 2009:2013;81.5
230 Rudersdal;TOT Total;2009:2013 2009:2013;81.7
240 Egedal;TOT Total;2009:2013 2009:2013;81.1
250 Frederikssund;TOT Total;2009:2013 2009:2013;79.2
253 Greve;TOT Total;2009:2013 2009:2013;79.8
259 Køge;TOT Total;2009:2013 2009:2013;79.6
260 Halsnæs;TOT Total;2009:2013 2009:2013;78.8
265 Roskilde;TOT Total;2009:2013 2009:2013;79.9
269 Solrød;TOT Total;2009:2013 2009:2013;79.9
270 Gribskov;TOT Total;2009:2013 2009:2013;79.5
306 Odsherred;TOT Total;2009:2013 2009:2013;77.9
316 Holbæk;TOT Total;2009:2013 2009:2013;79.1
320 Faxe;TOT Total;2009:2013 2009:2013;79.0
326 Kalundborg;TOT Total;2009:2013 2009:2013;78.0
329 Ringsted;TOT Total;2009:2013 2009:2013;79.0
330 Slagelse;TOT Total;2009:2013 2009:2013;78.2
336 Stevns;TOT Total;2009:2013 2009:2013;79.5
340 Sorø;TOT Total;2009:2013 2009:2013;78.6
350 Lejre;TOT Total;2009:2013 2009:2013;80.3
360 Lolland;TOT Total;2009:2013 2009:2013;76.3
370 Næstved;TOT Total;2009:2013 2009:2013;78.8
376 Guldborgsund;TOT Total;2009:2013 2009:2013;77.3
390 Vordingborg;TOT Total;2009:2013 2009:2013;78.2
400 Bornholm;TOT Total;2009:2013 2009:2013;79.3
410 Middelfart;TOT Total;2009:2013 2009:2013;80.1
420 Assens;TOT Total;2009:2013 2009:2013;79.9
430 Faaborg-Midtfyn;TOT Total;2009:2013 2009:2013;79.9
440 Kerteminde;TOT Total;2009:2013 2009:2013;79.0
450 Nyborg;TOT Total;2009:2013 2009:2013;79.2
461 Odense;TOT Total;2009:2013 2009:2013;78.9
479 Svendborg;TOT Total;2009:2013 2009:2013;79.7
480 Nordfyns;TOT Total;2009:2013 2009:2013;78.9
482 Langeland;TOT Total;2009:2013 2009:2013;78.9
492 Ærø;TOT Total;2009:2013 2009:2013;..
510 Haderslev;TOT Total;2009:2013 2009:2013;79.3
530 Billund;TOT Total;2009:2013 2009:2013;80.0
540 Sønderborg;TOT Total;2009:2013 2009:2013;79.8
550 Tønder;TOT Total;2009:2013 2009:2013;79.4
561 Esbjerg;TOT Total;2009:2013 2009:2013;79.0
563 Fanø;TOT Total;2009:2013 2009:2013;..
573 Varde;TOT Total;2009:2013 2009:2013;80.3
575 Vejen;TOT Total;2009:2013 2009:2013;79.9
580 Aabenraa;TOT Total;2009:2013 2009:2013;79.4
607 Fredericia;TOT Total;2009:2013 2009:2013;79.1
615 Horsens;TOT Total;2009:2013 2009:2013;79.9
621 Kolding;TOT Total;2009:2013 2009:2013;79.9
630 Vejle;TOT Total;2009:2013 2009:2013;80.0
657 Herning;TOT Total;2009:2013 2009:2013;80.5
661 Holstebro;TOT Total;2009:2013 2009:2013;79.9
665 Lemvig;TOT Total;2009:2013 2009:2013;79.7
671 Struer;TOT Total;2009:2013 2009:2013;79.1
706 Syddjurs;TOT Total;2009:2013 2009:2013;80.3
707 Norddjurs;TOT Total;2009:2013 2009:2013;78.8
710 Favrskov;TOT Total;2009:2013 2009:2013;81.0
727 Odder;TOT Total;2009:2013 2009:2013;80.8
730 Randers;TOT Total;2009:2013 2009:2013;79.1
740 Silkeborg;TOT Total;2009:2013 2009:2013;80.2
741 Samsø;TOT Total;2009:2013 2009:2013;..
746 Skanderborg;TOT Total;2009:2013 2009:2013;81.0
751 Aarhus;TOT Total;2009:2013 2009:2013;80.1
756 Ikast-Brande;TOT Total;2009:2013 2009:2013;80.0
760 Ringkøbing-Skjern;TOT Total;2009:2013 2009:2013;80.4
766 Hedensted;TOT Total;2009:2013 2009:2013;80.4
773 Morsø;TOT Total;2009:2013 2009:2013;78.1
779 Skive;TOT Total;2009:2013 2009:2013;79.9
787 Thisted;TOT Total;2009:2013 2009:2013;79.0
791 Viborg;TOT Total;2009:2013 2009:2013;80.5
810 Brønderslev;TOT Total;2009:2013 2009:2013;79.2
813 Frederikshavn;TOT Total;2009:2013 2009:2013;79.0
820 Vesthimmerlands;TOT Total;2009:2013 2009:2013;79.7
825 Læsø;TOT Total;2009:2013 2009:2013;..
840 Rebild;TOT Total;2009:2013 2009:2013;80.0
846 Mariagerfjord;TOT Total;2009:2013 2009:2013;79.5
849 Jammerbugt;TOT Total;2009:2013 2009:2013;79.6
851 Aalborg;TOT Total;2009:2013 2009:2013;79.6
860 Hjørring;TOT Total;2009:2013 2009:2013;79.9
000 All Denmark;TOT Total;2005:2009 2005:2009;78.3
101 Copenhagen;TOT Total;2005:2009 2005:2009;75.9
147 Frederiksberg;TOT Total;2005:2009 2005:2009;78.3
151 Ballerup;TOT Total;2005:2009 2005:2009;78.0
153 Brøndby;TOT Total;2005:2009 2005:2009;77.5
155 Dragør;TOT Total;2005:2009 2005:2009;79.9
157 Gentofte;TOT Total;2005:2009 2005:2009;80.6
159 Gladsaxe;TOT Total;2005:2009 2005:2009;78.0
161 Glostrup;TOT Total;2005:2009 2005:2009;77.8
163 Herlev;TOT Total;2005:2009 2005:2009;77.3
165 Albertslund;TOT Total;2005:2009 2005:2009;77.8
167 Hvidovre;TOT Total;2005:2009 2005:2009;77.9
169 Høje-Taastrup;TOT Total;2005:2009 2005:2009;77.7
173 Lyngby-Taarbæk;TOT Total;2005:2009 2005:2009;80.5
175 Rødovre;TOT Total;2005:2009 2005:2009;78.0
183 Ishøj;TOT Total;2005:2009 2005:2009;76.4
185 Tårnby;TOT Total;2005:2009 2005:2009;77.8
187 Vallensbæk;TOT Total;2005:2009 2005:2009;78.6
190 Furesø;TOT Total;2005:2009 2005:2009;79.9
201 Allerød;TOT Total;2005:2009 2005:2009;81.0
210 Fredensborg;TOT Total;2005:2009 2005:2009;78.1
217 Helsingør;TOT Total;2005:2009 2005:2009;78.1
219 Hillerød;TOT Total;2005:2009 2005:2009;79.5
223 Hørsholm;TOT Total;2005:2009 2005:2009;81.1
230 Rudersdal;TOT Total;2005:2009 2005:2009;80.1
240 Egedal;TOT Total;2005:2009 2005:2009;79.5
250 Frederikssund;TOT Total;2005:2009 2005:2009;78.2
253 Greve;TOT Total;2005:2009 2005:2009;78.4
259 Køge;TOT Total;2005:2009 2005:2009;78.2
260 Halsnæs;TOT Total;2005:2009 2005:2009;77.4
265 Roskilde;TOT Total;2005:2009 2005:2009;78.6
269 Solrød;TOT Total;2005:2009 2005:2009;79.7
270 Gribskov;TOT Total;2005:2009 2005:2009;78.1
306 Odsherred;TOT Total;2005:2009 2005:2009;76.9
316 Holbæk;TOT Total;2005:2009 2005:2009;78.0
320 Faxe;TOT Total;2005:2009 2005:2009;77.8
326 Kalundborg;TOT Total;2005:2009 2005:2009;77.1
329 Ringsted;TOT Total;2005:2009 2005:2009;78.3
330 Slagelse;TOT Total;2005:2009 2005:2009;77.1
336 Stevns;TOT Total;2005:2009 2005:2009;78.1
340 Sorø;TOT Total;2005:2009 2005:2009;77.3
350 Lejre;TOT Total;2005:2009 2005:2009;80.0
360 Lolland;TOT Total;2005:2009 2005:2009;75.3
370 Næstved;TOT Total;2005:2009 2005:2009;77.4
376 Guldborgsund;TOT Total;2005:2009 2005:2009;76.9
390 Vordingborg;TOT Total;2005:2009 2005:2009;76.9
400 Bornholm;TOT Total;2005:2009 2005:2009;78.4
410 Middelfart;TOT Total;2005:2009 2005:2009;78.7
420 Assens;TOT Total;2005:2009 2005:2009;78.2
430 Faaborg-Midtfyn;TOT Total;2005:2009 2005:2009;79.0
440 Kerteminde;TOT Total;2005:2009 2005:2009;78.5
450 Nyborg;TOT Total;2005:2009 2005:2009;77.8
461 Odense;TOT Total;2005:2009 2005:2009;78.3
479 Svendborg;TOT Total;2005:2009 2005:2009;78.6
480 Nordfyns;TOT Total;2005:2009 2005:2009;78.8
482 Langeland;TOT Total;2005:2009 2005:2009;78.3
492 Ærø;TOT Total;2005:2009 2005:2009;..
510 Haderslev;TOT Total;2005:2009 2005:2009;78.0
530 Billund;TOT Total;2005:2009 2005:2009;79.3
540 Sønderborg;TOT Total;2005:2009 2005:2009;79.1
550 Tønder;TOT Total;2005:2009 2005:2009;78.3
561 Esbjerg;TOT Total;2005:2009 2005:2009;78.0
563 Fanø;TOT Total;2005:2009 2005:2009;..
573 Varde;TOT Total;2005:2009 2005:2009;79.0
575 Vejen;TOT Total;2005:2009 2005:2009;79.1
580 Aabenraa;TOT Total;2005:2009 2005:2009;78.5
607 Fredericia;TOT Total;2005:2009 2005:2009;77.8
615 Horsens;TOT Total;2005:2009 2005:2009;78.2
621 Kolding;TOT Total;2005:2009 2005:2009;78.9
630 Vejle;TOT Total;2005:2009 2005:2009;78.9
657 Herning;TOT Total;2005:2009 2005:2009;78.6
661 Holstebro;TOT Total;2005:2009 2005:2009;78.4
665 Lemvig;TOT Total;2005:2009 2005:2009;77.6
671 Struer;TOT Total;2005:2009 2005:2009;77.9
706 Syddjurs;TOT Total;2005:2009 2005:2009;79.1
707 Norddjurs;TOT Total;2005:2009 2005:2009;77.7
710 Favrskov;TOT Total;2005:2009 2005:2009;79.7
727 Odder;TOT Total;2005:2009 2005:2009;79.0
730 Randers;TOT Total;2005:2009 2005:2009;78.2
740 Silkeborg;TOT Total;2005:2009 2005:2009;79.2
741 Samsø;TOT Total;2005:2009 2005:2009;..
746 Skanderborg;TOT Total;2005:2009 2005:2009;79.5
751 Aarhus;TOT Total;2005:2009 2005:2009;79.2
756 Ikast-Brande;TOT Total;2005:2009 2005:2009;78.8
760 Ringkøbing-Skjern;TOT Total;2005:2009 2005:2009;78.7
766 Hedensted;TOT Total;2005:2009 2005:2009;79.3
773 Morsø;TOT Total;2005:2009 2005:2009;77.6
779 Skive;TOT Total;2005:2009 2005:2009;79.0
787 Thisted;TOT Total;2005:2009 2005:2009;77.4
791 Viborg;TOT Total;2005:2009 2005:2009;79.3
810 Brønderslev;TOT Total;2005:2009 2005:2009;78.8
813 Frederikshavn;TOT Total;2005:2009 2005:2009;77.8
820 Vesthimmerlands;TOT Total;2005:2009 2005:2009;78.4
825 Læsø;TOT Total;2005:2009 2005:2009;..
840 Rebild;TOT Total;2005:2009 2005:2009;79.1
846 Mariagerfjord;TOT Total;2005:2009 2005:2009;78.0
849 Jammerbugt;TOT Total;2005:2009 2005:2009;79.1
851 Aalborg;TOT Total;2005:2009 2005:2009;78.3
860 Hjørring;TOT Total;2005:2009 2005:2009;78.5
000 All Denmark;TOT Total;2003:2007 2003:2007;77.8
101 Copenhagen;TOT Total;2003:2007 2003:2007;75.3
147 Frederiksberg;TOT Total;2003:2007 2003:2007;77.7
151 Ballerup;TOT Total;2003:2007 2003:2007;77.5
153 Brøndby;TOT Total;2003:2007 2003:2007;77.3
155 Dragør;TOT Total;2003:2007 2003:2007;79.8
157 Gentofte;TOT Total;2003:2007 2003:2007;79.8
159 Gladsaxe;TOT Total;2003:2007 2003:2007;77.9
161 Glostrup;TOT Total;2003:2007 2003:2007;77.4
163 Herlev;TOT Total;2003:2007 2003:2007;77.1
165 Albertslund;TOT Total;2003:2007 2003:2007;77.3
167 Hvidovre;TOT Total;2003:2007 2003:2007;77.2
169 Høje-Taastrup;TOT Total;2003:2007 2003:2007;77.2
173 Lyngby-Taarbæk;TOT Total;2003:2007 2003:2007;79.6
175 Rødovre;TOT Total;2003:2007 2003:2007;77.2
183 Ishøj;TOT Total;2003:2007 2003:2007;75.7
185 Tårnby;TOT Total;2003:2007 2003:2007;77.0
187 Vallensbæk;TOT Total;2003:2007 2003:2007;78.5
190 Furesø;TOT Total;2003:2007 2003:2007;79.2
201 Allerød;TOT Total;2003:2007 2003:2007;79.8
210 Fredensborg;TOT Total;2003:2007 2003:2007;77.8
217 Helsingør;TOT Total;2003:2007 2003:2007;77.6
219 Hillerød;TOT Total;2003:2007 2003:2007;78.7
223 Hørsholm;TOT Total;2003:2007 2003:2007;80.7
230 Rudersdal;TOT Total;2003:2007 2003:2007;79.5
240 Egedal;TOT Total;2003:2007 2003:2007;78.8
250 Frederikssund;TOT Total;2003:2007 2003:2007;77.6
253 Greve;TOT Total;2003:2007 2003:2007;77.7
259 Køge;TOT Total;2003:2007 2003:2007;77.8
260 Halsnæs;TOT Total;2003:2007 2003:2007;76.6
265 Roskilde;TOT Total;2003:2007 2003:2007;78.1
269 Solrød;TOT Total;2003:2007 2003:2007;79.4
270 Gribskov;TOT Total;2003:2007 2003:2007;77.8
306 Odsherred;TOT Total;2003:2007 2003:2007;76.8
316 Holbæk;TOT Total;2003:2007 2003:2007;77.4
320 Faxe;TOT Total;2003:2007 2003:2007;77.3
326 Kalundborg;TOT Total;2003:2007 2003:2007;76.7
329 Ringsted;TOT Total;2003:2007 2003:2007;78.1
330 Slagelse;TOT Total;2003:2007 2003:2007;76.5
336 Stevns;TOT Total;2003:2007 2003:2007;77.6
340 Sorø;TOT Total;2003:2007 2003:2007;76.6
350 Lejre;TOT Total;2003:2007 2003:2007;78.8
360 Lolland;TOT Total;2003:2007 2003:2007;75.2
370 Næstved;TOT Total;2003:2007 2003:2007;77.3
376 Guldborgsund;TOT Total;2003:2007 2003:2007;76.8
390 Vordingborg;TOT Total;2003:2007 2003:2007;76.9
400 Bornholm;TOT Total;2003:2007 2003:2007;77.8
410 Middelfart;TOT Total;2003:2007 2003:2007;78.3
420 Assens;TOT Total;2003:2007 2003:2007;78.0
430 Faaborg-Midtfyn;TOT Total;2003:2007 2003:2007;78.7
440 Kerteminde;TOT Total;2003:2007 2003:2007;78.4
450 Nyborg;TOT Total;2003:2007 2003:2007;77.9
461 Odense;TOT Total;2003:2007 2003:2007;77.9
479 Svendborg;TOT Total;2003:2007 2003:2007;77.9
480 Nordfyns;TOT Total;2003:2007 2003:2007;77.9
482 Langeland;TOT Total;2003:2007 2003:2007;77.1
492 Ærø;TOT Total;2003:2007 2003:2007;..
510 Haderslev;TOT Total;2003:2007 2003:2007;77.7
530 Billund;TOT Total;2003:2007 2003:2007;78.5
540 Sønderborg;TOT Total;2003:2007 2003:2007;79.3
550 Tønder;TOT Total;2003:2007 2003:2007;77.7
561 Esbjerg;TOT Total;2003:2007 2003:2007;77.6
563 Fanø;TOT Total;2003:2007 2003:2007;..
573 Varde;TOT Total;2003:2007 2003:2007;78.3
575 Vejen;TOT Total;2003:2007 2003:2007;78.8
580 Aabenraa;TOT Total;2003:2007 2003:2007;78.3
607 Fredericia;TOT Total;2003:2007 2003:2007;77.2
615 Horsens;TOT Total;2003:2007 2003:2007;77.4
621 Kolding;TOT Total;2003:2007 2003:2007;78.4
630 Vejle;TOT Total;2003:2007 2003:2007;78.4
657 Herning;TOT Total;2003:2007 2003:2007;77.8
661 Holstebro;TOT Total;2003:2007 2003:2007;77.7
665 Lemvig;TOT Total;2003:2007 2003:2007;77.6
671 Struer;TOT Total;2003:2007 2003:2007;78.0
706 Syddjurs;TOT Total;2003:2007 2003:2007;79.1
707 Norddjurs;TOT Total;2003:2007 2003:2007;77.3
710 Favrskov;TOT Total;2003:2007 2003:2007;79.4
727 Odder;TOT Total;2003:2007 2003:2007;78.6
730 Randers;TOT Total;2003:2007 2003:2007;77.5
740 Silkeborg;TOT Total;2003:2007 2003:2007;78.7
741 Samsø;TOT Total;2003:2007 2003:2007;..
746 Skanderborg;TOT Total;2003:2007 2003:2007;79.0
751 Aarhus;TOT Total;2003:2007 2003:2007;78.8
756 Ikast-Brande;TOT Total;2003:2007 2003:2007;78.7
760 Ringkøbing-Skjern;TOT Total;2003:2007 2003:2007;78.3
766 Hedensted;TOT Total;2003:2007 2003:2007;78.7
773 Morsø;TOT Total;2003:2007 2003:2007;77.4
779 Skive;TOT Total;2003:2007 2003:2007;78.0
787 Thisted;TOT Total;2003:2007 2003:2007;76.9
791 Viborg;TOT Total;2003:2007 2003:2007;78.5
810 Brønderslev;TOT Total;2003:2007 2003:2007;78.3
813 Frederikshavn;TOT Total;2003:2007 2003:2007;77.3
820 Vesthimmerlands;TOT Total;2003:2007 2003:2007;77.9
825 Læsø;TOT Total;2003:2007 2003:2007;..
840 Rebild;TOT Total;2003:2007 2003:2007;78.4
846 Mariagerfjord;TOT Total;2003:2007 2003:2007;77.8
849 Jammerbugt;TOT Total;2003:2007 2003:2007;78.4
851 Aalborg;TOT Total;2003:2007 2003:2007;77.9
860 Hjørring;TOT Total;2003:2007 2003:2007;78.3
000 All Denmark;TOT Total;2004:2008 2004:2008;78.1
101 Copenhagen;TOT Total;2004:2008 2004:2008;75.6
147 Frederiksberg;TOT Total;2004:2008 2004:2008;78.0
151 Ballerup;TOT Total;2004:2008 2004:2008;77.6
153 Brøndby;TOT Total;2004:2008 2004:2008;77.3
155 Dragør;TOT Total;2004:2008 2004:2008;80.3
157 Gentofte;TOT Total;2004:2008 2004:2008;80.2
159 Gladsaxe;TOT Total;2004:2008 2004:2008;77.9
161 Glostrup;TOT Total;2004:2008 2004:2008;77.3
163 Herlev;TOT Total;2004:2008 2004:2008;77.3
165 Albertslund;TOT Total;2004:2008 2004:2008;77.5
167 Hvidovre;TOT Total;2004:2008 2004:2008;77.4
169 Høje-Taastrup;TOT Total;2004:2008 2004:2008;77.3
173 Lyngby-Taarbæk;TOT Total;2004:2008 2004:2008;80.1
175 Rødovre;TOT Total;2004:2008 2004:2008;77.5
183 Ishøj;TOT Total;2004:2008 2004:2008;75.8
185 Tårnby;TOT Total;2004:2008 2004:2008;77.4
187 Vallensbæk;TOT Total;2004:2008 2004:2008;78.7
190 Furesø;TOT Total;2004:2008 2004:2008;79.6
201 Allerød;TOT Total;2004:2008 2004:2008;80.3
210 Fredensborg;TOT Total;2004:2008 2004:2008;77.9
217 Helsingør;TOT Total;2004:2008 2004:2008;77.7
219 Hillerød;TOT Total;2004:2008 2004:2008;79.0
223 Hørsholm;TOT Total;2004:2008 2004:2008;80.9
230 Rudersdal;TOT Total;2004:2008 2004:2008;79.6
240 Egedal;TOT Total;2004:2008 2004:2008;78.8
250 Frederikssund;TOT Total;2004:2008 2004:2008;77.9
253 Greve;TOT Total;2004:2008 2004:2008;77.9
259 Køge;TOT Total;2004:2008 2004:2008;78.1
260 Halsnæs;TOT Total;2004:2008 2004:2008;77.1
265 Roskilde;TOT Total;2004:2008 2004:2008;78.3
269 Solrød;TOT Total;2004:2008 2004:2008;79.7
270 Gribskov;TOT Total;2004:2008 2004:2008;77.9
306 Odsherred;TOT Total;2004:2008 2004:2008;76.6
316 Holbæk;TOT Total;2004:2008 2004:2008;77.7
320 Faxe;TOT Total;2004:2008 2004:2008;77.5
326 Kalundborg;TOT Total;2004:2008 2004:2008;77.0
329 Ringsted;TOT Total;2004:2008 2004:2008;78.2
330 Slagelse;TOT Total;2004:2008 2004:2008;76.8
336 Stevns;TOT Total;2004:2008 2004:2008;78.0
340 Sorø;TOT Total;2004:2008 2004:2008;77.0
350 Lejre;TOT Total;2004:2008 2004:2008;79.7
360 Lolland;TOT Total;2004:2008 2004:2008;75.3
370 Næstved;TOT Total;2004:2008 2004:2008;77.4
376 Guldborgsund;TOT Total;2004:2008 2004:2008;76.7
390 Vordingborg;TOT Total;2004:2008 2004:2008;76.9
400 Bornholm;TOT Total;2004:2008 2004:2008;78.0
410 Middelfart;TOT Total;2004:2008 2004:2008;78.5
420 Assens;TOT Total;2004:2008 2004:2008;78.0
430 Faaborg-Midtfyn;TOT Total;2004:2008 2004:2008;79.0
440 Kerteminde;TOT Total;2004:2008 2004:2008;78.5
450 Nyborg;TOT Total;2004:2008 2004:2008;78.0
461 Odense;TOT Total;2004:2008 2004:2008;78.1
479 Svendborg;TOT Total;2004:2008 2004:2008;78.2
480 Nordfyns;TOT Total;2004:2008 2004:2008;78.5
482 Langeland;TOT Total;2004:2008 2004:2008;77.9
492 Ærø;TOT Total;2004:2008 2004:2008;..
510 Haderslev;TOT Total;2004:2008 2004:2008;78.0
530 Billund;TOT Total;2004:2008 2004:2008;79.2
540 Sønderborg;TOT Total;2004:2008 2004:2008;79.3
550 Tønder;TOT Total;2004:2008 2004:2008;77.9
561 Esbjerg;TOT Total;2004:2008 2004:2008;78.0
563 Fanø;TOT Total;2004:2008 2004:2008;..
573 Varde;TOT Total;2004:2008 2004:2008;79.1
575 Vejen;TOT Total;2004:2008 2004:2008;78.9
580 Aabenraa;TOT Total;2004:2008 2004:2008;78.2
607 Fredericia;TOT Total;2004:2008 2004:2008;77.6
615 Horsens;TOT Total;2004:2008 2004:2008;77.8
621 Kolding;TOT Total;2004:2008 2004:2008;78.7
630 Vejle;TOT Total;2004:2008 2004:2008;78.6
657 Herning;TOT Total;2004:2008 2004:2008;78.1
661 Holstebro;TOT Total;2004:2008 2004:2008;78.1
665 Lemvig;TOT Total;2004:2008 2004:2008;77.8
671 Struer;TOT Total;2004:2008 2004:2008;78.2
706 Syddjurs;TOT Total;2004:2008 2004:2008;79.3
707 Norddjurs;TOT Total;2004:2008 2004:2008;77.6
710 Favrskov;TOT Total;2004:2008 2004:2008;79.5
727 Odder;TOT Total;2004:2008 2004:2008;78.6
730 Randers;TOT Total;2004:2008 2004:2008;77.9
740 Silkeborg;TOT Total;2004:2008 2004:2008;79.0
