Year,relationship,x,y,n,slope,intercept,r,r2,p_value
2010,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.2565455838549941,3.3516239335376103,0.523273506947277,0.273815163072902,3.237038897950196e-08
2011,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.24833027896052975,3.2975783435446573,0.5118730302173012,0.2620139990638422,7.163320459758645e-08
2012,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.261210543398875,3.328246003026508,0.5441635809860903,0.2961140028716053,6.983662134853968e-09
2013,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.2727745726028706,2.836547911682599,0.6371976077742652,0.40602079135324626,1.738428948973244e-12
2014,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.2518287108254295,2.1326420975937936,0.6882130155938659,0.4736371548328028,4.88479143958264e-15
2015,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.24263264865338308,1.7241698239607701,0.7015521281056403,0.4921753884495527,8.57852907705642e-16
2016,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.22485885570759906,1.3432915662044533,0.6973571692558618,0.4863070215125486,1.49771288967693e-15
2017,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.19443042029505256,1.7399329584864738,0.7090095096815517,0.5026944848188745,3.109265102019714e-16
2018,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.19799653959502386,1.3749038120717763,0.716852201958082,0.5138770794521508,1.0326636074520791e-16
2019,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.18954680982097916,1.2707332269773848,0.7641585471789584,0.5839382852266564,5.532977174558774e-20
2020,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.20308973581629194,1.91926067611894,0.6951027047918118,0.4831677702088927,2.0127257325215283e-15
2021,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.17439542845722364,1.2840247998157848,0.6531129480441912,0.42655652290297436,3.1366406622522513e-13
2022,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.13119125120040598,0.8284560481868677,0.6707550306259645,0.4499123111100386,4.1550824681316546e-14
2023,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.13947921464295435,0.9645215613263931,0.68035695849118,0.4628855909673693,1.3035924806923878e-14
2024,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.14250926611868525,0.9747529059573674,0.7271739804055406,0.5287819977788375,2.284651822812115e-17
